1378579
/m/04xzfp
/m/04xzfp
David Weber
2000
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01smf2": "Military science fiction"}
8th 3
a 10
academy 1
accepted 1
actions 1
active 1
admiral 4
admirals 1
after 2
all 2
alliance 1
allows 1
almost 1
along 1
ambitious 1
an 6
and 23
apolitical 1
are 1
arrest 1
arrive 1
as 4
assassinate 1
assault 1
assigned 1
at 2
attack 2
attacks 1
attempts 1
baron 1
be 1
becomes 2
been 1
begin 1
begins 2
believe 1
believed 1
believes 1
benjamin 1
between 2
bides 1
birth 1
book 1
breaks 1
buttercup 2
by 4
card 1
ceasefire 1
chaos 1
come 1
command 2
commissar 1
committee 2
communication 1
consequences 1
consolidation 1
control 2
copartisans 1
coup 4
couple 1
cousin 1
cromarty 2
cronyism 1
crush 1
daring 1
dead 1
death 1
deep 1
defeated 1
demolish 1
desperation 1
despite 2
detonating 1
devastatingly 1
develop 1
developed 1
device 1
devon 1
dictator 1
discover 1
dissidents 1
duchess 1
duke 1
duty 1
dying 1
easy 1
effective 1
efforts 1
elevates 1
elizabeth 3
elysian 1
end 2
entire 1
eventually 2
except 1
executes 1
extent 1
fact 1
factions 1
far 1
fatal 1
featured 1
figures 1
fleet 5
for 7
force 2
form 1
former 1
fortunately 1
from 3
frustration 1
full 1
fully 1
further 1
future 1
generations 1
giscard 1
given 1
good 2
government 3
governments 1
grayson 2
graysons 1
greed 1
grip 1
guarding 1
had 1
harrington 3
has 5
hastily 1
have 2
haven 8
havenite 5
he 2
headquarters 1
heavy 1
heir 1
help 1
helps 2
her 9
hidden 1
high 4
him 1
his 5
honor 6
hours 1
however 1
humans 2
iii 1
immediate 1
in 13
incompetence 1
inherited 1
initiative 1
injuries 1
institutes 1
integrated 1
intelligent 1
internal 1
into 2
invade 2
is 5
island 1
itself 2
ix 1
javier 1
killing 2
kingdom 2
known 1
language 1
launches 2
leadership 1
led 1
legacy 1
lester 1
lightning 1
major 1
making 1
manages 1
manticoran 7
manticorancontrolled 1
manticore 6
masadan 1
massive 2
matter 1
matters 1
mayhew 1
mcqueen 1
meanwhile 1
members 1
military 3
minister 1
miscalculation 1
moment 1
months 1
mother 1
much 1
naval 3
navy 4
necessary 1
need 1
needs 1
new 5
not 1
novel 2
now 1
nuclear 1
of 22
offensive 1
officers 1
on 3
only 1
opens 1
operation 1
opportune 1
opportunity 1
opposition 1
orders 2
oscar 1
over 1
own 1
partly 1
people 2
personally 1
pierre 1
places 1
plotting 1
poised 2
policy 1
political 4
possibility 1
possible 1
potential 1
power 1
prelude 1
prevent 1
previous 2
prime 1
programs 1
promotes 1
proposes 1
protector 1
prove 1
proves 1
public 1
put 1
queen 3
quickly 1
ranks 1
reaching 1
reality 1
reconstructive 1
republic 2
resistance 1
returning 1
ridge 3
rob 1
royal 1
ruins 1
s 1
safety 1
saganami 1
saintjust 9
same 1
satisfy 1
save 1
secret 1
secretly 1
secure 1
seems 1
sees 1
seize 1
selfishness 1
service 1
several 1
she 3
sign 1
since 1
space 2
stages 1
star 2
steading 1
strike 1
succeed 1
succeeds 1
surgery 1
surrender 1
system 3
take 1
teach 1
technology 2
territory 1
terrorists 1
that 11
the 52
theisman 6
this 2
thomas 1
time 1
title 1
to 29
tourville 1
treecats 2
trump 1
trustworthy 1
turns 1
twins 1
unconditional 1
under 2
understand 1
up 1
use 1
violence 1
waiting 1
war 1
was 1
weapons 1
while 1
white 1
who 1
whom 1
will 3
with 3
within 1
wrests 1
wrongly 1
years 1
