30761
/m/07knm
/m/07knm
Tom Clancy
1984
a 24
about 1
academy 1
acoustical 1
action 1
adds 1
admiral 1
affairs 1
after 2
agency 1
agent 1
agrees 1
alexandrovich 1
alfa 1
alfaclass 1
allen 1
american 1
americanization 1
americans 2
an 4
analyst 1
and 19
angeles 1
apparent 1
appear 1
appropriate 1
are 3
arm 1
arrangement 1
as 6
at 2
attack 1
attempts 2
away 1
back 1
ballistic 1
based 1
because 1
becomes 1
been 3
begin 1
behind 1
believes 1
between 1
blown 1
board 1
both 1
brazenly 1
british 2
broadside 1
but 1
by 3
callousness 1
capable 1
captain 1
case 2
caterpillar 2
central 1
chiefs 1
cia 1
circumstances 1
claiming 1
class 1
combination 1
combined 1
command 1
commander 2
commended 1
compartment 1
construction 1
consults 1
contact 1
contingencies 1
convince 1
convincing 1
cook 1
crew 3
dallas 2
damaged 1
death 2
deception 2
decision 1
decisive 1
decommissioned 1
deduces 1
defect 3
defection 1
deliver 1
depth 1
deputy 1
described 1
destabilizing 1
destroy 1
destroyed 1
detect 1
detection 1
die 1
difficult 1
director 1
disappears 1
discover 1
disillusionment 1
dissatisfaction 1
dock 1
doctor 1
drive 3
dry 1
due 1
effect 1
eightten 1
emergency 1
engage 1
engaged 1
engagement 1
ensure 1
entire 1
equipped 1
escort 1
escorting 1
ethan 1
events 1
exhausts 1
experimental 1
explosion 1
extremely 1
factors 1
failings 1
fakes 1
fatally 1
fear 1
fiercely 1
finds 1
fire 1
fleet 4
fleets 1
flies 2
for 3
former 1
friend 1
from 5
gauge 1
getting 1
gru 1
had 1
hands 2
happening 1
has 4
have 1
he 5
her 4
heroically 1
highlevel 1
his 13
house 1
however 1
if 1
ignite 1
immediately 1
in 10
incompetent 1
information 2
initially 1
inside 1
instrument 1
intelligence 4
intends 1
intention 1
intentions 1
interfere 1
into 3
is 11
it 6
its 1
jack 1
jettisoned 1
joint 1
killing 1
kills 1
langley 1
launch 2
launching 1
letter 1
lithuanian 1
little 1
loginov 5
london 2
longstanding 1
los 1
loss 1
lost 2
made 1
main 1
makes 1
managed 1
manages 1
marko 1
masquerading 1
meanwhile 1
member 1
military 1
missile 4
missiles 1
mission 1
motor 1
must 1
natalia 2
naval 1
navy 2
new 1
nicknamed 1
no 1
norfolk 1
northern 2
not 2
nuclear 2
number 1
observers 1
october 14
octobers 4
of 25
off 1
officer 3
officers 3
on 3
one 1
or 1
order 1
orders 1
other 2
out 2
padorin 1
panel 1
particular 1
patriotic 1
persuade 1
photographs 1
planning 1
plans 1
platform 1
ploy 1
politburo 1
political 2
posting 1
pretext 1
prevent 2
proceed 1
propulsion 1
pumpjets 1
pursue 1
pursuing 1
putting 1
ramius 14
rams 1
rather 1
realize 1
realizes 1
red 18
refuses 1
reluctantly 1
rescue 1
rescues 1
responsible 1
result 1
revolutionary 1
rise 1
rocket 1
rule 1
rules 1
ryan 8
safehouse 1
safely 1
sails 1
salvaged 1
scuttle 1
search 1
serial 1
several 1
she 1
shepherding 1
shipboard 1
shoot 1
signature 1
silent 1
sink 1
sinks 1
sneaking 1
so 1
son 1
sonar 2
soviet 9
soviets 2
spurred 1
staff 1
standoff 1
stated 1
states 1
stating 1
stay 1
stealth 1
strategic 2
student 1
submarine 9
submarines 1
subsequent 1
succeed 1
superiors 1
surrender 1
system 3
taken 2
technology 1
tense 1
tensions 1
than 2
that 7
the 65
their 1
these 1
they 1
this 1
those 1
through 1
to 30
together 1
tolerance 1
top 1
torpedo 1
tracking 1
trailing 1
tube 1
tupolev 3
two 1
typhoonclass 1
ultimately 1
unable 1
uncle 1
under 1
underwater 1
united 1
unpunished 1
untimely 1
up 1
upon 1
us 6
uss 2
value 1
variations 1
vessel 3
viktor 2
virginia 2
warning 1
was 3
waters 1
way 2
weapon 1
went 1
what 2
when 1
where 1
which 1
while 2
who 1
wife 1
will 1
with 8
world 1
wounding 1
wreckage 1
writes 1
yuri 1
