1339238
/m/04tz9r
/m/04tz9r
Brian Jacques
2001
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 21
abbess 2
abbey 3
accept 1
accustomed 1
adoptive 1
after 3
aid 1
all 2
along 1
ambitious 2
ambush 1
among 1
an 4
ancient 1
and 35
another 1
antigra 2
appointed 1
appoints 1
are 5
around 1
arrives 3
arrow 3
as 12
assassin 1
assistant 1
at 6
attack 2
attacked 1
attackers 1
away 1
back 3
badger 1
badgermum 1
band 5
battle 1
be 2
because 3
become 1
been 1
before 1
befriends 1
begins 1
behind 1
being 3
believe 1
bellies 1
better 1
bids 1
birth 3
bittersweet 1
blind 1
boat 1
bor 2
both 1
bowbeast 4
bragging 1
bring 3
broggle 1
bumbling 1
burying 1
but 3
by 9
came 1
capture 1
captured 1
captures 1
cellars 1
chance 1
chase 1
chases 1
chasing 1
chest 1
chief 1
claim 1
colony 1
command 1
commanding 1
companions 1
company 1
completing 1
confirm 1
continue 1
control 2
cook 1
courage 1
crawling 1
cregga 2
crew 1
dead 1
deadly 3
death 1
decide 3
deciding 1
denoted 1
desert 1
determined 1
deyna 4
die 1
dies 1
diminishing 1
distinguishing 1
down 1
downfall 1
draps 1
due 1
eat 1
eats 1
eefara 2
eefera 2
enables 1
enjoys 1
enraging 1
eventually 1
eyes 2
father 1
fearsome 1
felch 1
fellow 1
fend 1
ferret 2
fight 1
fighter 1
filorn 1
find 2
finding 2
finds 3
flees 1
follow 2
followers 1
following 1
for 7
former 1
fox 2
friends 1
from 7
full 1
fun 1
garge 1
gaze 1
getting 1
give 1
go 1
goes 2
goodbye 1
grave 1
grissoul 1
grow 1
gruven 12
had 1
happened 1
harsh 1
harvest 1
has 2
hates 1
have 2
he 11
head 2
her 5
highranking 1
him 14
himself 3
his 24
home 2
hordebeasts 1
however 2
hunt 2
hunting 1
hurt 1
husband 1
if 1
impulse 1
in 11
including 2
infant 1
into 1
invite 1
is 8
it 2
itself 1
juska 5
juskabor 1
juskarath 4
juskas 1
juskazann 2
kill 4
killed 1
killing 1
knocked 1
knows 1
landslide 2
leader 3
leadership 1
leaving 1
legend 1
legendary 1
lies 1
likes 1
listen 1
literally 1
local 1
locked 1
longawaited 1
longtime 1
lost 1
love 1
loved 1
manages 1
many 3
mark 2
may 1
means 1
medal 1
meet 1
member 3
members 2
mhera 1
mistaken 1
mossflower 1
most 2
mother 2
mountain 1
mountains 1
mouse 1
much 1
murdered 2
murders 1
must 1
mysterious 1
mystery 1
name 1
named 3
neck 1
never 1
new 1
newborn 1
newfound 1
newly 2
nice 1
nimbalo 3
not 2
now 3
odds 1
of 28
off 3
old 1
older 1
on 4
one 5
ones 1
only 4
opportunity 2
or 2
orders 3
other 4
otter 2
otterfixer 1
out 3
outlaw 1
over 3
own 2
paw 2
pear 1
plans 1
predicted 1
presented 1
promise 1
prone 1
pursued 1
pygmy 3
quest 2
quite 1
raise 1
rat 1
rath 7
rather 1
real 1
reason 1
rebellious 1
recent 1
recognizes 1
recruits 1
redwall 7
refuses 2
released 1
remaining 1
remnants 1
remove 3
renamed 1
renames 1
reprimanded 1
rest 1
return 1
reveals 1
reversed 1
right 1
rillflag 2
ritual 1
roles 1
rose 2
ruggan 1
rukky 1
ruler 1
rumor 1
runaway 1
runs 1
russano 3
sadly 1
salamandastron 1
same 2
savagery 1
saving 1
sawney 9
scatter 1
seasons 1
seasonssawney 1
see 1
seek 1
seen 1
seer 2
sending 1
sets 2
she 2
shore 1
short 1
shortlived 1
shortly 2
shot 2
shrew 1
shrews 2
silently 1
similarly 1
sister 1
skin 1
slayer 1
slays 1
slingstone 1
slowing 1
small 1
snake 1
some 1
son 5
songbreeze 1
soon 2
start 1
stay 1
stew 1
stoat 1
story 1
strength 1
stronghold 1
succeeding 1
sunset 1
supposed 1
tagg 13
taggerung 11
take 1
takes 1
tattoos 1
telling 1
tells 1
terrible 1
than 2
that 4
the 73
their 6
them 2
themselves 1
then 6
they 8
this 3
threat 1
threatening 1
thrown 1
time 3
to 35
too 1
trackers 1
travels 1
tree 1
tribe 9
tribes 1
true 1
trying 1
two 2
unbeatable 1
under 3
unfortunate 1
unfortunately 2
unique 1
unlike 1
until 1
up 1
vallug 6
vermin 8
very 1
violent 1
vixen 1
voles 1
warrior 2
warriors 1
was 4
weasel 2
well 1
western 1
when 5
which 3
while 1
who 3
will 1
wise 1
wishes 1
with 5
wont 1
woods 1
word 1
would 3
wrong 1
young 1
zann 2
