25183182
/m/09gjn19
/m/09gjn19


{"/m/03mfnf": "Young adult literature"}
a 6
about 1
accident 1
adolescent 1
after 1
age 1
all 1
and 10
are 2
as 4
at 1
athletic 1
attention 1
battlefield 1
be 2
become 1
begin 1
better 2
between 1
boy 1
boys 1
bright 1
brothers 1
bullies 1
but 4
called 1
can 2
carving 1
change 1
choice 1
choose 1
christies 1
closer 1
comingofage 1
complex 1
consequences 1
cool 1
course 1
custody 1
danny 4
dannys 1
definitely 1
dies 1
distinguish 1
doubt 1
even 1
fair 1
fathers 1
fights 2
finishing 1
firsthand 1
florida 1
for 4
forced 1
forever 1
freshman 1
friends 2
friendship 2
from 1
garners 1
get 1
gets 1
girls 2
glimpse 1
gripping 1
gritty 1
gus 1
hand 1
hard 1
hardest 1
hatches 1
have 1
he 3
hell 1
help 1
high 1
him 4
himself 1
his 10
honor 1
how 1
humorous 1
improves 1
in 4
including 1
into 2
is 5
it 2
joel 1
just 1
known 1
knows 1
lacy 1
learns 1
leaving 1
life 1
look 1
loss 1
love 1
loyal 1
make 1
making 1
many 1
meets 1
meyers 1
middle 1
modern 1
motorcycle 1
move 1
must 1
named 1
neck 1
new 2
no 3
not 3
novel 2
of 7
offers 1
older 1
on 4
one 1
or 1
other 1
out 2
own 1
parents 1
passes 1
pete 1
picking 1
picture 1
plan 1
quickly 1
ramerez 1
realistic 1
remain 1
right 1
risk 1
robby 7
robbys 1
school 2
seems 1
several 1
sinister 1
small 1
so 1
social 1
south 1
spots 1
status 1
struggles 1
student 1
surprisingly 2
suspects 1
teachers 1
teams 1
teens 1
tells 1
than 2
that 1
the 11
their 1
them 1
themselves 1
then 1
things 1
this 1
thoughtful 1
thumb 1
time 1
to 9
tough 1
trouble 2
two 1
uncle 1
uncles 1
under 1
uninvolved 1
up 1
various 1
waged 1
wars 1
when 1
whether 1
which 2
who 2
will 1
with 3
world 2
wrong 1
year 1
young 2
youngadult 1
