877112
/m/03kyd8
/m/03kyd8
Anton Chekhov

17yearold 1
1861 1
20th 1
a 18
abandoned 1
about 4
above 1
absence 1
accompanied 1
act 4
addition 1
adopted 1
adoration 1
affection 2
after 4
again 2
aged 1
ago 1
aid 1
all 2
allow 1
alone 2
also 3
amount 1
ancestral 1
and 53
andreyevich 1
andreyevna 1
anxious 1
anya 11
apart 1
apologizes 1
apparently 1
appear 1
are 4
argue 1
around 3
arrive 1
arrives 1
as 14
ask 1
asking 1
asks 1
at 3
auction 4
august 2
aunt 1
away 3
axe 1
axes 1
background 1
be 7
become 1
bed 2
been 3
before 1
begged 1
begin 1
begs 1
behaviour 1
behind 2
being 3
better 1
bids 1
billiards 1
boarded 1
boris 1
borisovich 1
both 2
bought 1
breaks 1
bring 1
brother 1
but 3
by 8
calls 1
calm 1
carouse 1
carried 1
catatonic 1
caught 1
century 1
charlotta 5
cherry 12
chop 1
chopping 1
cleans 1
clerk 1
clings 1
clumsy 1
come 2
coming 1
confesses 1
considering 1
constant 2
constantly 1
consternation 1
conversations 1
cool 1
cottages 1
couch 1
cruel 1
cultured 1
cut 1
dancing 1
darkness 1
daughter 2
day 4
daze 1
death 2
debt 2
debts 1
declaring 1
delight 1
demurs 1
depart 1
departing 1
departs 1
despite 4
destruction 1
developed 1
die 1
dinner 1
disapproves 1
discovers 1
discussing 1
disheveled 1
distant 1
distracted 1
distraught 1
disturbance 1
down 6
drink 1
drinking 1
drowning 1
drunken 1
due 1
dunyasha 6
during 1
duty 1
dying 1
early 1
easter 1
emancipation 2
employer 1
end 1
enjoys 1
enters 4
entertain 1
entertains 1
espouses 1
estate 9
evening 2
events 1
everyone 1
exchange 1
exhausted 1
experiences 1
eyes 1
face 1
falls 1
family 9
famous 1
far 1
fate 2
fates 1
fetch 1
finally 1
find 1
firs 2
five 2
folly 1
footman 1
for 21
forever 2
forgives 1
former 2
france 2
from 4
futilely 1
future 1
galoshes 1
gayev 6
general 1
gives 1
go 2
goes 1
gone 1
goodbye 1
governess 1
great 1
griefstricken 1
grisha 1
group 2
guests 1
had 2
hand 1
has 11
have 3
hawklike 1
he 6
hear 2
heavily 1
her 19
herself 1
him 7
himself 2
his 12
home 1
hope 1
hopes 1
hours 1
house 4
household 1
housekeeper 1
however 2
huff 1
humour 1
i 2
if 2
ii 1
ill 1
impress 1
in 28
including 1
incur 1
infatuated 1
inside 1
insistence 1
insisting 1
insists 2
intends 1
interrupted 1
into 2
is 21
it 6
its 1
ivanovna 1
joining 1
just 1
kill 1
known 1
later 1
laughs 1
leave 3
leaves 3
left 2
leonid 1
lies 1
life 3
living 1
loans 1
lopakhin 13
loss 1
lost 1
love 2
lover 2
lyubov 1
madame 1
magic 1
marriage 1
marry 1
may 1
members 1
merriment 1
met 1
midsummer 1
might 1
mme 1
money 4
more 2
morning 1
mother 1
move 1
much 1
musicians 2
mutters 1
my 2
nationally 1
nature 1
nearby 1
neighbor 1
neighbour 1
new 2
news 2
not 1
now 1
nursery 2
of 31
off 1
offers 1
offstage 3
old 1
on 4
once 2
only 2
opens 2
opposing 1
orchard 14
ordering 1
other 1
others 1
out 1
outcome 1
outdoors 1
overseen 1
packed 1
paltry 1
paris 1
part 1
party 1
passes 1
past 2
pay 2
paying 1
performing 1
perpetual 1
peter 1
philosophy 1
pishchik 1
place 1
plan 1
play 1
playing 1
position 1
possible 1
prepares 1
preserved 1
prompted 1
proposed 1
protestations 1
provinces 1
purchaser 1
purpose 1
quickly 1
ranevskaya 26
reassure 1
reassuring 1
received 2
reconcile 1
reconciled 1
refers 1
regrets 1
remind 1
reminder 1
reminding 1
renewed 1
reprimands 1
resigns 1
respective 1
retires 1
return 2
returning 1
revealed 1
reveals 3
rifle 1
river 1
room 2
rumour 1
rushes 1
russia 3
save 1
saved 1
saying 1
says 1
scoldingly 1
scolds 2
search 1
seeing 1
semyon 1
serfs 1
seriously 1
several 2
shaken 1
she 12
shoos 1
shortly 1
shows 1
shut 1
simeonovpishchik 1
since 3
size 1
so 2
societal 1
sold 4
soliloquizes 1
some 1
somehow 1
somewhere 1
son 2
spot 1
spring 1
stairs 1
stares 1
start 1
stays 1
still 1
stingy 1
stop 1
structure 1
student 2
stunned 1
summer 1
sunshine 1
surprised 1
taken 1
takes 1
talk 1
tearfully 1
teases 1
teasing 1
telegram 1
that 22
the 94
their 9
them 3
themselves 1
then 1
they 9
this 4
thoughtlessly 1
time 4
to 37
too 1
tragedy 1
tricks 1
tried 1
tries 1
trip 1
trofimov 13
truth 1
turn 1
tutor 1
two 3
uncertain 1
unnamed 1
up 1
upon 2
urges 1
useful 1
vagrant 1
valet 1
varya 11
view 1
views 1
virtually 1
vows 1
vying 1
wait 1
wanders 1
was 2
way 1
we 1
weeks 1
well 1
when 2
which 1
while 4
who 7
whom 2
whose 1
will 6
win 1
with 11
without 2
wont 1
word 2
work 1
worked 1
workers 1
world 1
worries 1
would 1
yaroslavl 1
yasha 5
years 2
yepikhodov 4
young 2
