2950
/m/012dq
/m/012dq
Arthur Laurents

a 30
a1 1
about 1
accept 1
act 2
administration 1
admits 2
after 1
again 3
against 1
all 5
alliance 1
alone 1
although 1
american 1
an 5
and 38
angrily 1
announces 2
another 1
answer 2
anticipate 1
anyone 2
anything 1
appear 1
appears 4
applauding 1
apple 2
are 4
arrest 2
arrives 3
as 13
asked 1
asking 1
asks 1
assistant 3
at 10
attempted 1
audience 2
away 1
baby 2
back 1
backup 1
ballet 1
bankrupt 1
be 6
because 1
become 1
becomes 1
begin 3
begins 6
believe 3
big 1
bitter 1
black 1
blaming 1
blowing 1
bluebird 1
boast 1
bowden 1
break 2
briefly 1
bring 1
business 1
but 9
by 4
calling 1
can 12
cant 2
captured 1
care 1
carried 1
cast 1
caught 1
celebrates 1
change 1
chase 1
chief 1
child 1
coat 1
college 1
come 6
comes 2
comptroller 2
confesses 1
confront 1
continue 1
controlled 1
cookie 9
cookies 7
cooley 1
cora 17
council 4
cronies 1
crusading 2
curative 1
cynical 1
dance 2
deliver 1
deserted 1
destroy 1
detmold 4
directions 1
disappears 1
disbelieving 1
discover 1
discovering 1
disgruntled 1
disguise 3
disguised 1
disprove 1
divulge 1
do 1
does 1
doesnt 1
doing 1
dollars 1
dont 1
doubt 1
doubts 1
down 1
dr 2
drink 1
each 2
eagerly 1
easily 1
edge 1
embrace 1
emergency 1
ends 2
enough 1
entire 1
eternally 1
even 2
everybody 1
except 3
expecting 1
expose 1
exposing 1
extended 2
fake 4
fay 26
feathered 1
fiftieth 1
filled 2
film 1
finale 1
first 1
flowing 2
for 9
force 2
forms 1
fortynine 3
fraud 1
free 3
french 2
from 11
get 3
gets 1
give 1
go 1
gone 1
good 2
got 1
governor 1
group 5
groups 3
guards 1
guess 1
hands 1
hapgood 19
has 8
he 14
healthier 1
heart 1
help 4
helplessly 1
her 22
hero 1
heroism 1
herself 3
hiatus 1
hiding 1
highly 1
him 6
himself 1
his 5
holding 1
hooper 1
hoover 1
hope 1
hopes 1
horrified 2
hotel 3
house 2
however 2
idea 1
idealist 1
identifies 1
identify 3
if 2
im 1
imaginary 1
impeached 1
in 18
inmates 6
inside 1
inspector 1
inspired 1
instantly 2
intending 1
into 2
introduces 1
investigate 1
is 30
isnt 1
it 11
ive 1
j 1
jar 7
joan 2
key 1
known 1
knows 1
lady 1
later 1
lean 1
learn 1
left 1
let 1
licks 1
lights 2
like 2
limelight 1
litter 1
little 1
local 2
logic 1
look 1
lourdes 1
mad 1
madness 1
magruder 1
manager 1
march 2
marches 1
may 1
mayoress 2
me 3
meant 1
meanwhile 1
meet 1
meeting 1
memory 1
might 2
mingle 1
miracle 15
miracles 1
missing 1
mob 1
moment 2
money 1
more 1
mother 1
mrs 1
much 1
musical 1
my 1
mysterious 1
needs 1
never 1
new 6
next 1
no 2
normal 3
not 4
now 1
nurse 2
of 18
off 4
on 6
one 6
only 3
opens 1
or 3
other 2
out 5
outside 1
over 3
own 2
parade 1
parting 1
people 4
person 1
persona 1
place 1
plan 2
play 2
police 3
powers 1
practical 1
practicing 1
pretending 1
proclaims 1
produces 1
professional 1
programs 1
promising 1
pump 1
put 1
question 1
questioning 1
questions 1
quickly 1
quota 2
random 2
real 1
realize 1
realizes 3
really 1
receives 1
recognizes 1
record 2
records 4
reflect 1
refuge 1
refuses 5
reluctant 1
restored 1
resumes 1
retire 1
returns 1
revealed 2
rigid 2
rivalry 1
rock 8
romantic 1
rounding 1
runs 1
ruthless 1
said 1
sanitarium 1
sanity 1
save 1
saying 1
says 2
scene 1
scheming 1
schroeder 1
schub 9
seats 1
seconds 1
seduce 1
see 1
seeing 1
seeks 1
sees 1
sequence 2
set 2
shared 1
she 18
shell 1
should 1
shrill 1
simple 1
since 3
singers 1
skeptical 1
so 1
some 1
song 1
soon 2
sorting 1
speech 1
spotlight 1
spring 1
stage 2
statue 1
still 4
stolen 1
stop 2
stopping 1
story 1
stranger 2
style 1
stylish 1
succeeds 1
successful 1
suddenly 1
sure 1
suspicious 1
swears 1
take 3
taken 2
tear 1
telegram 1
tell 1
telling 1
tells 7
than 2
that 21
the 97
theater 1
their 2
them 6
there 1
they 11
this 3
three 1
through 2
time 1
tired 1
to 45
together 1
too 1
tourist 1
tow 1
town 15
towns 1
townspeople 3
treasurer 1
tries 6
true 1
trumpets 1
truth 1
try 1
trying 1
turn 3
two 6
ugly 1
under 1
unethical 1
unpopularity 1
until 3
up 4
upstaged 1
vanished 1
wants 2
warm 1
warn 1
warning 1
warns 2
water 5
way 2
ways 1
what 3
when 3
which 2
whistle 3
who 11
whose 1
wig 1
will 4
with 11
without 1
wiz 1
woman 1
wont 1
word 1
work 1
works 1
world 1
years 1
you 3
young 1
