4654659
/m/0cfp5w
/m/0cfp5w
E.R. Frank
2002
{"/m/03mfnf": "Young adult literature", "/m/05hgj": "Novel"}
17 1
2 1
7 1
a 25
able 1
about 3
acquainted 1
addict 1
adopted 1
after 7
again 2
aged 1
alcohol 1
all 2
also 3
america 51
an 1
and 35
anger 1
any 1
anything 1
applegate 3
are 4
around 1
arrested 1
arthritic 1
as 2
ashes 1
asked 1
associated 1
at 7
attempts 2
away 1
b 7
back 3
bad 5
be 2
because 2
become 1
bed 1
bedroom 1
befriended 1
befriends 1
begins 4
behavior 1
behaviors 1
being 1
ben 1
biological 1
birth 1
birthday 1
books 1
born 1
both 1
brooklyn 8
brothers 3
browning 12
burns 2
but 5
by 7
can 2
carrots 1
charles 1
chart 1
child 1
children 1
city 1
clark 3
climbs 1
come 1
coming 1
confesses 1
contacted 1
continues 1
convicted 1
cook 1
cooking 1
court 1
crack 1
crushes 1
cry 1
cussing 1
darken 1
days 1
dealer 1
decided 1
decides 2
delighted 1
destroy 1
detective 1
detox 1
develop 2
didnt 1
died 1
dies 1
difficulty 1
dinners 1
discovers 1
distraught 1
done 1
dr 7
dream 1
drug 1
during 1
each 2
eighteen 1
elevator 2
eliminate 1
eloped 2
encourages 1
ends 1
enjoys 1
enormous 1
enters 1
erasing 1
ernie 6
even 1
eventually 4
everyone 1
family 2
feeling 1
feels 1
fiftyseven 1
finally 1
finds 2
fire 1
first 1
fish 1
five 2
for 3
forgiven 1
foster 1
found 1
from 4
get 1
gets 1
given 1
gives 3
go 1
god 1
goes 2
gone 1
good 1
grade 1
grown 1
had 4
halfbrother 1
hand 1
hang 1
hanging 1
happened 1
harper 8
has 6
he 33
her 3
him 17
himself 1
his 16
home 7
hooligans 1
hospital 1
house 1
however 2
if 2
illiterate 1
impact 1
in 9
informs 2
interview 1
introduces 1
is 22
it 1
judge 1
kevin 1
killed 1
killing 1
kitchen 2
knows 2
lady 1
later 1
learned 1
learns 1
left 1
lessons 1
letter 4
life 4
lifting 1
lighter 4
likes 1
live 3
lived 1
lives 1
liza 6
looking 1
love 1
loves 1
luck 1
lyle 4
magazines 1
man 1
manfriend 1
marijuana 1
marshall 1
masturbate 1
masturbation 1
meets 2
memories 3
mentally 1
mentions 1
molest 1
money 1
more 1
mother 4
moved 1
mrs 7
murder 1
naked 1
named 5
nanny 1
never 1
new 2
not 1
numbers 1
nursing 2
nypd 1
occasion 1
of 10
officer 1
old 4
older 1
on 5
one 1
only 1
open 2
other 2
out 2
over 2
painful 3
pairs 1
people 1
person 1
phillip 1
place 1
plight 1
poignant 3
pornographic 1
positive 2
possibly 1
promote 1
quantities 1
questioned 1
reading 2
ready 1
receives 2
refuses 1
relations 1
relationship 1
remind 1
replies 1
resists 1
retarded 1
reunited 1
rich 1
ridgeway 1
room 1
runs 1
saves 1
saving 1
says 2
school 1
scribbling 1
secretly 1
see 2
seemingly 1
sees 1
selftalk 1
send 1
sends 1
sent 6
sets 1
several 1
sex 1
sexual 1
share 1
shares 1
she 3
shoddy 1
shoelaces 1
shortly 1
showing 1
six 1
sixteenth 1
skin 1
so 3
social 1
some 1
soon 2
spot 1
started 1
starts 1
state 1
stealing 1
still 2
stopping 1
struggles 1
sylvia 1
symbolism 1
talk 1
teaches 1
tell 1
tells 4
thank 1
that 4
the 27
their 1
them 1
then 4
therapist 1
therapy 1
there 1
they 7
thinks 1
though 2
three 1
throws 2
time 1
to 39
together 2
touching 1
transitional 1
tree 2
troubled 1
truly 1
two 3
ty 2
tyler 1
unable 1
uncle 1
understands 1
unnoticed 1
up 3
vandalizing 1
visit 1
visits 1
want 1
wants 2
was 1
wastes 1
weeks 1
what 1
when 6
where 1
which 2
white 1
who 5
why 1
wick 1
will 2
with 14
work 1
worker 2
worries 1
writes 1
year 2
years 2
york 2
young 1
