168590
/m/016kwb
/m/016kwb
William Kennedy
1983
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
accidentally 1
after 1
albany 2
alcoholic 1
an 1
and 2
been 1
books 1
by 1
characters 1
complicated 1
depression 1
drunk 1
during 1
family 1
features 1
focuses 1
francis 2
from 1
great 1
hallucinations 1
have 1
he 2
his 3
in 2
infant 1
ironweed 1
is 2
kennedy 1
killed 1
killing 1
left 1
may 1
narrative 1
new 1
novel 2
of 3
on 1
originally 1
other 2
past 1
people 1
phelan 2
return 2
set 1
some 1
son 2
story 1
tells 1
than 1
that 1
the 7
three 1
to 1
vagrant 1
while 1
who 1
whom 1
york 1
