23537523
/m/06w1l_k
/m/06w1l_k

2007
{"/m/03mfnf": "Young adult literature"}
14yearold 3
8 1
a 2
after 1
ambush 1
an 2
and 4
andrew 1
arrives 1
ascensionspeeding 1
ascent 1
at 2
away 1
baraban 3
barely 1
boy 1
bullets 1
cage 1
college 1
come 1
could 1
criminalassassins 1
cuttingedge 1
demand 1
developed 1
down 1
early 1
electric 1
email 1
faraday 1
for 2
friend 1
gadget 1
gadgetswakes 1
gaiaa 1
girl 1
gives 1
had 1
he 5
her 1
him 4
his 3
hours 1
imperial 1
in 4
invention 2
inventor 1
is 2
it 1
kidnapping 1
knighta 1
laboratory 1
london 2
meanwhile 1
millionare 1
name 1
new 2
of 2
professor 2
rapid 1
recruited 1
refuses 1
rendering 1
school 1
sends 1
sergei 1
settle 1
several 1
shoot 1
son 1
starts 1
storm 1
story 1
successfully 1
take 1
tells 1
test 1
testing 1
tests 1
the 6
them 1
then 2
they 2
through 1
to 3
trapped 1
two 1
type 1
unconscious 1
unknown 1
up 1
vassily 2
vladimir 1
weapon 1
west 1
when 2
which 1
will 3
with 2
witnesses 1
