14126310
/m/03cvdd8
/m/03cvdd8
Mickey Spillane

a 8
across 1
after 1
an 1
and 4
are 1
as 1
at 1
attends 1
been 1
berated 1
bridge 1
but 1
by 1
card 1
cards 1
career 1
chambers 1
clue 1
comes 1
communist 1
death 1
each 1
fbi 1
for 4
friend 1
from 2
goes 1
green 1
hammer 2
having 1
he 1
her 2
his 1
identifies 1
in 1
is 2
judge 1
jumps 1
kills 1
local 1
lost 1
man 1
meeting 1
membership 1
mike 2
mistaken 1
moscow 1
oddly 1
of 1
papers 1
party 1
pat 1
police 1
politician 1
popular 1
possessed 1
pursuer 1
pursues 1
same 1
searching 1
secret 1
shaped 1
some 1
spy 1
terrified 2
that 1
the 7
them 1
threatened 1
time 1
to 1
walk 1
woman 2
