3425068
/m/09bst8
/m/09bst8
Anne Rice
1979
{"/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
1840s 1
a 13
able 1
about 1
adopted 1
african 2
after 1
all 2
already 1
also 1
among 1
and 26
anna 3
anyway 1
are 1
as 3
at 1
attic 2
aunt 2
author 1
avenge 1
avoid 1
be 1
become 1
becomes 1
been 4
before 2
being 1
bella 3
best 1
betrayed 1
black 1
blonde 1
blood 1
blue 1
borne 1
both 1
brother 1
but 8
by 5
call 1
can 2
cane 1
cannot 2
caucasian 1
cecile 2
centers 1
certainly 1
challenged 1
characters 1
child 1
childhood 1
children 2
christophe 1
civil 1
color 3
comes 1
commits 1
common 1
confides 1
confront 1
confronted 1
convicted 1
couleur 3
creole 1
darker 1
daughter 1
dazincourt 4
dazinncourt 1
de 3
death 1
deciding 1
depriving 1
descendants 1
descent 1
diasporan 1
did 1
dies 1
disgrace 1
does 2
dolly 1
down 1
drinking 1
drugged 1
duel 1
duels 1
during 1
early 1
earn 1
ends 1
enslaved 1
escape 1
ethnic 1
european 1
eventually 1
executed 1
exile 1
extended 1
eyed 1
face 1
fact 1
families 1
family 6
famous 1
father 3
ferronaire 4
ferronairedazincourt 1
finally 1
find 2
five 2
follow 1
footsteps 1
for 4
france 1
free 5
freedom 1
french 2
friend 2
from 4
generations 1
gens 4
get 1
gossip 1
had 2
hair 1
haitian 1
half 2
has 7
have 1
he 10
her 6
here 1
him 4
himself 1
his 13
history 2
home 1
house 1
however 1
identity 1
implication 1
in 12
including 1
income 1
is 17
issue 1
it 2
kill 1
killed 1
kills 1
knew 2
know 1
large 1
learning 1
learns 2
let 1
libre 1
libres 2
light 1
lisette 4
live 1
lived 1
living 2
local 1
locked 1
louisiana 1
loves 1
madam 1
maid 1
major 1
man 2
many 1
marcel 14
marie 11
marriage 1
marry 3
members 1
men 4
mistress 2
mistresses 2
money 1
mother 3
murder 1
new 4
not 2
novel 4
now 1
of 20
off 1
offer 1
on 4
once 1
one 2
or 2
order 2
orleans 4
other 2
out 2
owner 1
parent 2
paris 3
particularly 1
pass 1
people 3
perspective 1
philippe 2
phillipe 1
photographer 1
place 1
planning 1
plantation 2
planters 1
population 1
practice 1
prevent 1
promise 1
promised 1
protector 1
rape 1
raped 3
refuge 1
related 1
reneged 1
returns 1
revenge 2
revolt 1
rich 1
richard 4
river 1
rose 1
sailing 1
school 1
send 1
sent 2
set 1
settlers 2
several 1
she 4
sister 2
skin 1
skinned 1
slave 3
some 3
source 1
spanish 1
split 1
start 1
stay 1
stolen 1
story 1
street 1
success 1
suicide 1
take 1
takes 3
taking 1
tells 1
that 10
the 34
their 3
them 4
then 1
there 1
therefore 1
these 1
they 2
third 1
this 4
time 2
to 24
together 1
told 1
too 1
tried 1
two 4
unaware 1
unprepared 1
until 1
vengeance 1
very 1
vincent 2
voodooiene 1
wanders 1
war 1
was 6
were 3
where 2
which 3
while 1
white 5
who 9
whose 1
wife 1
will 4
with 6
women 1
young 3
