14142810
/m/03cvx9v
/m/03cvx9v
Velma Wallis

a 7
after 1
again 1
alive 1
all 4
also 2
and 13
are 4
as 1
at 1
athabaskan 1
away 3
back 1
be 1
beaten 1
because 1
becomes 1
before 1
belonging 1
bend 1
besides 1
bird 10
both 2
boy 1
boys 1
brothers 2
by 4
called 2
camp 1
caribou 3
cave 1
central 1
cheekwai 4
cheekwais 2
child 1
children 3
clan 6
clans 1
columbus 1
country 2
counts 1
daagoo 12
danger 1
defiantly 1
different 1
disapprove 1
diverge 1
dreaded 1
dream 1
during 1
dwellings 1
each 2
educated 1
end 1
escapes 1
even 1
expeditions 1
experience 1
faraway 1
father 1
fight 1
figures 1
finally 1
find 1
finds 2
following 1
football 1
for 3
found 1
free 1
from 4
get 1
girl 10
give 1
goes 2
grouse 1
gwichin 2
had 1
has 2
have 1
he 2
heads 1
her 5
his 7
holes 1
home 2
however 1
hunt 3
hunters 2
hunting 1
hurries 1
icy 1
in 6
inappropriate 1
initiative 1
inuit 1
inupiat 1
invaders 1
is 8
it 2
itself 1
jutthunvaa 1
kidnapped 1
land 3
last 1
leads 1
leaves 2
like 1
long 1
marry 1
meanwhile 2
meat 1
meet 1
members 1
men 1
mother 1
moves 2
murder 1
murdered 2
murderers 2
must 2
never 1
new 1
newborn 1
night 1
no 1
north 2
northwards 1
novel 1
of 19
off 1
old 1
on 3
once 1
one 1
other 1
out 1
overpowered 1
own 2
parents 2
paths 1
people 2
play 1
plugs 1
point 1
polar 1
practices 1
pregnancy 1
pregnant 1
prevent 1
provisionsonly 1
puts 1
realized 1
reflects 1
regions 1
reluctance 1
rest 1
returns 1
revenge 1
search 1
secured 1
see 1
she 4
sister 1
slave 1
sleeping 1
smoke 1
snow 1
so 1
son 1
southern 1
southward 1
still 1
straw 1
stripes 1
such 1
suffocate 1
summers 1
sun 3
survival 1
taken 1
takes 1
the 47
their 4
there 1
they 2
this 2
three 1
through 2
to 13
together 2
torturer 1
tribes 1
trips 1
turned 1
two 2
up 1
useless 1
view 1
wandering 1
want 3
wants 1
when 3
who 1
whom 1
will 1
winter 1
with 4
woman 2
women 1
world 1
would 1
young 2
