3365544
/m/097w73
/m/097w73
Ian Irvine
1998-02-11
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 10
aachan 1
aachim 3
accepted 1
all 4
allow 1
alone 1
and 23
arm 1
arrival 1
arrives 1
art 1
as 5
asks 1
away 2
barges 1
been 1
behalf 1
believing 1
book 1
broken 1
but 3
by 6
capital 1
captured 1
cast 1
chief 1
chronicler 1
city 2
claims 1
college 2
comes 1
commonly 1
conclave 2
conclaveblinded 1
council 1
cracks 1
dangerous 1
deceive 1
decide 1
done 1
ends 1
entry 1
escapes 2
even 1
eventually 3
evil 1
fact 1
faelamor 3
faellem 1
fashion 1
fatherthe 1
find 1
finding 1
fiz 1
flee 1
for 1
forbidden 1
forbiddingin 1
forces 2
fortress 1
friend 1
frightened 1
from 4
gaining 1
gathered 1
get 2
glass 1
go 1
goal 1
gorgo 1
great 3
greatest 1
had 4
happen 1
have 1
having 1
he 1
helped 1
her 9
hidden 2
high 1
him 1
his 5
histories 1
history 1
hold 1
however 1
imprisoned 1
in 9
inside 1
intermittently 1
into 1
is 7
it 2
journey 1
judges 1
karan 12
killed 1
knowledge 1
lays 1
leader 2
learnt 1
liege 1
lieutenant 1
links 1
llian 8
low 1
magister 1
maigraith 6
makes 1
mancer 2
master 1
meet 2
meets 1
mendark 3
merge 1
mirror 9
named 1
nemesis 1
new 1
not 1
of 25
off 1
old 2
on 4
opportunity 1
or 1
order 1
out 2
overjoyed 1
overpowered 1
part 1
people 1
persuades 1
plaster 1
possession 1
potency 3
powerful 1
powers 2
preserve 1
previously 1
process 1
protect 1
pursued 1
questioning 1
questionning 1
quickly 1
rael 2
ramifications 1
reader 1
regarding 1
relic 1
relieved 1
rescues 1
retrieve 1
returns 1
revealing 1
rid 1
runs 1
santhenar 1
save 1
saved 1
see 1
seeing 1
sensitive 1
separated 1
set 1
shadow 1
shand 1
shazmak 2
she 3
should 2
sith 1
so 1
someone 1
soon 1
spell 1
starts 1
stolen 1
stronger 1
subsequent 1
succeeded 1
suppress 1
surprising 1
survived 1
syndics 2
tale 2
talent 1
talesthe 1
tallia 1
telling 2
tensor 5
tensoris 1
that 4
the 42
theirs 1
they 1
this 2
thurkad 2
thurkadgives 1
thyllan 1
thyllian 1
to 19
together 1
trial 1
troubled 1
unaffected 1
undergo 1
understands 1
unknown 1
unmatched 1
unsure 1
up 3
uses 2
using 2
venture 1
version 1
was 3
way 1
whelm 2
when 2
whether 1
which 3
who 4
whole 1
will 2
wistan 1
with 8
woman 1
yet 1
yggur 5
