2566521
/m/07nftw
/m/07nftw
John Barth
1958

28th 1
45 1
a 6
abandoned 1
able 1
abolish 1
abortion 2
abortionist 1
about 1
action 1
adultery 1
affair 1
africanamerican 1
after 2
agree 1
all 2
alone 1
among 1
an 4
and 10
any 1
are 2
articulated 1
articulations 1
as 2
assign 1
assumed 1
at 5
authentic 1
author 1
baltimore 1
be 3
becomes 1
birthday 1
botched 1
busy 1
but 2
by 2
called 1
can 1
cannot 1
center 1
choices 1
choose 1
claims 1
college 1
colt 1
commit 1
committed 1
completely 1
conditions 1
confession 1
confirmed 1
convinced 1
cosmopsis 2
cosmopsisan 1
craves 1
death 1
different 1
discover 1
discovers 2
disorients 1
dissertation 1
doctor 4
does 2
duel 1
each 1
effort 1
ego 1
encourages 2
enjoy 1
farm 2
father 1
feel 1
find 1
firstperson 1
for 2
friends 1
from 3
get 1
given 1
graduate 1
hand 1
happened 1
have 2
having 2
he 7
her 3
him 2
himself 1
his 12
history 1
hopkins 1
horner 2
horseback 1
hunts 1
husband 1
imagine 1
in 11
inability 1
inducing 1
insists 2
instructed 1
intellectually 1
involved 1
is 10
jacob 1
jake 11
job 1
joe 8
john 1
just 1
know 1
later 1
length 1
like 1
maintain 1
marriage 1
mask 1
masks 1
morgan 1
morgans 3
must 1
mythotherapy 1
name 1
nameless 1
no 1
not 2
of 11
on 4
one 1
or 3
other 1
outings 1
over 1
paralysis 2
paralyzes 1
part 2
participating 1
parties 1
pennsylvania 1
people 1
phd 1
philosophical 1
possible 1
pregnant 1
private 1
procedure 1
railroad 1
read 1
real 1
reality 1
reasons 1
relationship 1
relativist 1
remobilization 2
rennie 7
resistant 1
responsibility 1
resulting 1
returning 1
reverts 1
riding 1
roles 1
sartre 1
schedule 1
scriptotherapy 1
see 1
sees 1
seriously 1
she 5
sparring 1
specialize 1
spy 1
state 1
station 1
story 1
studies 1
such 1
suffers 1
suicide 1
sure 1
symbolic 1
take 1
taken 1
takes 1
taking 1
talk 1
teach 1
teacher 1
teachers 1
teaching 1
that 2
the 19
their 1
them 1
therapies 1
therapy 1
they 2
this 1
through 1
thus 2
to 14
turns 1
two 2
unable 1
under 1
unfaithfulness 1
university 1
unusual 1
visit 1
vison 1
what 4
when 2
where 1
whether 1
which 2
while 1
who 2
wicomico 2
wife 2
will 2
with 2
working 1
would 1
writes 1
years 1
you 1
