4797577
/m/0cnrnw
/m/0cnrnw
Karen Cushman
1994
120 1
14 1
a 6
about 4
afterword 1
against 1
ahead 1
all 1
almost 1
also 1
an 4
and 5
around 1
as 4
assorted 1
at 1
avoiding 1
bars 1
be 1
beard 1
been 1
before 1
beliefs 1
bird 1
birds 1
birdy 5
book 1
books 1
by 1
cage 1
called 2
catherine 3
chooses 1
clear 1
concludes 1
consult 1
consumed 1
contains 1
could 1
critical 1
daily 1
daughter 1
day 1
depicted 1
described 1
details 1
diary 1
discusses 1
dress 1
energy 1
england 1
english 1
evening 1
events 1
eye 1
facts 1
far 1
father 1
feast 1
feminist 1
fighting 1
fleas 1
food 1
for 3
from 1
further 1
habits 1
has 1
health 1
her 11
herbal 1
house 1
in 5
information 2
insider 1
interpreted 1
is 6
it 1
keeps 1
kills 1
knows 1
laced 1
lack 1
lays 1
life 2
list 1
look 1
looks 1
man 1
manners 1
manor 1
many 1
marry 1
medical 1
medicines 1
medieval 2
metaphorically 1
mind 1
minor 1
much 1
nobleman 1
number 2
of 16
older 1
or 1
packing 1
people 3
period 2
practices 1
process 1
provides 1
readers 1
reference 1
refers 1
religious 1
rollo 1
room 1
routines 1
ruses 1
sanitary 1
sends 1
set 1
shaggy 1
she 10
small 1
story 1
storytelling 1
suitors 1
telling 2
tells 1
the 19
them 1
thereof 1
throughout 1
time 2
times 1
to 6
unattractive 1
until 1
upon 1
urine 1
various 1
vehicle 1
wed 1
with 4
world 1
year 1
young 1
