5354586
/m/0dh1hv
/m/0dh1hv
Fred Vargas
2006-01-05
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction"}
a 8
abandoned 1
afterward 1
aimlessly 1
alarmed 1
alexandra 3
alibi 1
all 1
already 1
an 2
and 9
appearance 1
armand 3
around 1
arrives 1
asks 1
at 2
attention 1
away 1
barrel 1
basalt 1
beech 1
before 1
believes 1
best 1
book 1
boy 1
burned 1
but 4
by 1
calls 1
came 1
cashiered 1
charm 1
chastle 1
colleagues 1
commissioner 1
concern 1
contacts 1
continuing 1
convivial 1
corpse 1
cyrille 1
dellamarre 1
desperate 1
devernois 1
dig 1
disappears 1
discovered 1
discovers 1
divert 1
door 1
driving 1
elder 1
enigma 1
especially 1
evangelists 3
evening 1
eventually 1
expecting 1
exploiting 1
expresses 1
factory 1
failed 1
find 1
first 1
for 1
former 1
fortune 1
friend 1
from 3
garden 1
gone 2
habit 1
has 3
have 1
he 1
help 1
her 8
his 1
household 1
husband 1
in 4
increasingly 1
indicate 1
indifferent 1
inherit 1
investigate 1
is 6
it 3
juliette 2
le 1
little 1
lover 1
lucien 2
lucky 1
make 1
makes 1
marc 3
matthias 2
meal 1
meet 1
morning 1
neighbour 1
neighbours 2
never 2
next 1
niece 1
night 2
no 1
not 1
nothing 2
odd 1
of 6
off 1
old 1
on 2
one 2
operatic 1
other 1
out 1
paris 1
piece 1
pierre 2
police 2
principal 1
quiet 1
regularly 1
relationship 1
remains 1
restaurant 1
retired 1
rue 1
running 1
seen 1
she 5
shortly 1
simonidis 1
small 1
sophia 8
soprano 1
stands 1
start 1
stay 1
stelyos 1
street 1
substantial 1
sure 1
suspect 1
telling 1
that 2
the 15
their 2
there 1
they 1
third 1
this 1
three 2
thursday 1
to 6
tonneau 1
tree 3
troubled 1
uncle 1
unconcerned 1
underneath 1
unrecognisable 1
vanderloos 4
visit 1
was 1
when 1
where 1
which 1
with 4
without 1
would 1
