8527395
/m/0276nlt
/m/0276nlt
Brian Caswell

a 7
about 2
after 2
again 1
almost 2
and 9
another 1
are 1
australia 1
away 1
back 1
be 2
become 2
being 1
better 2
boat 3
book 4
boy 1
but 2
by 3
can 1
captured 1
caused 1
character 1
chase 1
country 2
cousin 2
desolation 1
destroy 1
dream 3
drowns 1
during 2
end 1
escape 3
everyone 1
exchange 1
experienced 1
experiences 1
faced 1
fair 1
family 4
father 1
fault 1
feel 1
filled 2
first 2
for 6
forced 1
forcing 1
freedom 1
from 4
future 1
gangs 1
go 1
hands 1
hardships 1
he 1
heart 1
her 5
herself 1
his 4
home 1
hope 2
however 1
in 5
inside 1
into 1
is 9
it 3
jumps 1
late 1
leave 1
life 1
linh 1
list 1
main 1
mainly 1
make 1
makes 1
malaysia 2
malaysian 1
matters 1
mother 1
named 1
never 1
not 1
novel 1
of 6
offering 1
old 1
older 1
on 2
only 2
overboard 1
own 1
part 1
past 1
people 5
person 1
phuong 2
pirates 1
point 1
present 1
problems 1
sacrifice 1
safe 1
safety 1
saves 1
sea 1
seen 1
send 1
sex 1
she 1
ship 1
shows 1
six 1
so 1
story 1
stricken 1
stronger 1
taken 1
takes 1
teens 1
that 2
the 24
their 4
them 2
they 7
this 5
through 1
time 1
to 10
toan 7
transferred 1
trip 1
try 1
trying 1
up 1
upon 1
vietnam 5
vietnamese 2
view 1
waiting 1
war 4
was 2
wave 1
way 1
were 1
when 4
while 1
with 3
written 1
years 1
