18838423
/m/04gn38r
/m/04gn38r
Dean Hughes
2003-05-01
{"/m/02p0szs": "Historical fiction"}
180 1
a 20
aa 1
about 1
adolf 1
after 2
again 1
against 3
aimed 1
albert 1
allied 2
allies 1
along 1
ambushed 1
american 3
americans 1
an 7
and 21
antiaircraft 1
anxious 1
any 1
anyone 1
are 7
arguing 1
arrive 1
arrives 1
as 5
asking 1
assigned 1
at 2
attack 1
attempt 1
attempting 1
attitude 1
await 1
away 1
back 2
badly 1
bandage 1
battery 1
battle 1
be 1
become 1
becomes 1
before 1
begins 3
being 2
beneath 1
best 1
blind 3
boasts 1
bombing 2
both 3
boys 2
bring 1
british 1
build 1
bulge 1
but 3
by 5
call 1
calms 1
can 2
cannot 1
capable 1
carried 1
chances 1
charge 1
charges 1
company 1
constant 1
constantly 1
continues 1
contrasts 1
contributions 1
convinced 1
corrupt 1
crawl 1
criticizes 1
cynical 1
day 1
dead 1
decide 1
decides 1
decorated 1
deliberately 1
delusional 1
demoralized 1
desert 1
desperation 1
despite 1
devotion 1
did 1
dies 1
dieter 25
differently 1
down 1
during 1
effort 1
else 1
enemy 3
enormous 1
enthusiastic 1
equipment 1
ernst 1
expected 1
fade 1
fallen 1
far 2
farther 1
fatally 1
fatherson 1
fellow 1
few 1
field 1
fiery 1
fight 1
fighting 2
first 1
following 1
for 11
force 1
form 1
fortunate 1
friends 1
from 4
front 1
funeral 1
gave 1
german 7
germans 3
germany 2
gessel 1
get 1
gi 1
goes 2
going 1
gradually 2
ground 1
group 2
gun 2
had 2
half 1
happened 1
has 3
hatred 1
have 2
having 3
he 9
hedrick 1
held 1
help 1
helped 1
high 1
higher 1
hill 2
him 8
himself 1
his 7
hitler 3
hj 4
hoffmann 1
hope 1
hospital 1
however 2
ignore 1
in 6
increasing 1
infantry 2
initially 1
into 2
is 19
it 1
kept 1
kill 2
killed 5
last 1
later 1
lead 1
leader 3
leaders 1
learning 1
learns 1
least 1
left 1
less 2
let 1
letter 1
life 2
line 1
lines 2
losses 1
lost 2
making 1
manning 1
medic 1
medics 3
meet 1
meets 1
member 1
men 1
more 2
morgans 1
moving 1
much 1
next 1
night 1
no 1
not 1
number 1
of 16
on 2
once 2
one 2
onto 1
open 1
or 1
orders 1
other 2
out 1
over 1
overnight 1
own 1
pappas 1
parents 1
part 1
partially 1
patriotism 2
persists 1
person 1
project 1
promise 2
promoted 1
proud 1
proves 1
push 1
raid 1
raids 1
rank 1
reach 1
reached 1
react 1
realizes 1
realizing 1
reinforcements 1
relationship 1
relatives 1
remember 1
rest 1
result 1
retreat 2
retrieve 1
returned 2
revealing 1
reveals 1
running 1
save 2
saying 1
schaefer 7
scores 1
seen 1
senior 1
sent 1
sergeant 2
several 2
sharply 1
shot 5
sides 1
siegfried 1
significance 1
since 1
site 1
small 1
so 1
soldier 2
somewhat 1
son 2
soon 1
speer 1
spence 14
spitfire 1
squad 2
stalingrad 1
states 1
steadily 1
strafes 1
stronger 1
suffer 1
surgery 1
surrendering 1
surviving 1
taken 1
taking 1
tanks 1
ted 1
telling 1
than 3
that 7
the 31
their 5
them 2
there 1
they 5
thing 1
think 1
this 3
time 2
times 1
timid 1
to 26
transfer 1
tries 2
truthfully 1
two 1
ultimately 1
unable 1
unaware 1
undergo 1
understand 1
understrength 1
unit 3
united 1
up 4
uses 1
veteran 1
war 4
was 1
weary 1
wehrmacht 1
westwall 1
what 2
when 3
where 2
while 3
who 4
whose 1
will 1
willi 1
with 5
would 1
wounded 2
wounds 1
young 1
youth 1
