33746461
/m/0hhw28v
/m/0hhw28v
Tom Cain

a 1
account 1
act 1
an 1
and 1
assassin 1
attempts 1
avoid 1
based 1
bring 1
carver 2
central 1
character 1
circulation 1
committing 1
conspiracy 1
death 1
diana 1
discover 1
efforts 1
events 1
exemployers 1
exmarine 1
fictional 1
focuses 1
for 1
he 1
his 2
in 1
into 1
involved 1
is 2
justice 1
kill 1
life 1
novel 1
now 1
of 4
on 3
order 1
origins 1
princess 1
proposes 1
samuel 1
some 1
story 1
subsequent 1
surrounding 1
the 9
theories 1
those 1
to 3
tricked 1
tries 1
wales 1
whilst 1
who 1
