179860
/m/018k2l
/m/018k2l
Dodie Smith
1956
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
101st 1
15 2
7 1
a 17
abandoned 1
abandonment 1
able 1
about 1
abused 1
across 2
after 3
aid 1
all 3
allow 2
almost 1
an 3
ancestral 1
and 25
animal 1
animals 1
another 1
appears 1
are 6
around 1
arriving 1
as 2
attend 1
away 1
barking 1
be 2
because 1
become 1
been 3
before 1
belief 1
birth 1
but 4
butler 1
buys 1
by 4
cadpig 1
can 1
canine 1
care 1
carriage 2
cat 2
charge 1
christmas 1
church 1
circle 1
circumstances 1
clothing 1
coats 2
collection 1
colonel 2
communication 1
concerned 1
consider 1
cook 1
country 2
countryside 1
crooks 1
cruella 7
dalmatian 2
dalmatians 3
darkness 1
day 1
de 3
dearly 5
dearlys 7
debt 1
decide 1
destroy 1
devise 1
dinner 2
disappear 1
disconcerted 1
disguise 1
distance 1
dog 1
dogs 8
down 1
drivers 1
drowned 1
dynasty 2
each 1
english 1
escape 2
eve 1
exemption 1
fail 2
family 1
feed 2
finally 1
financial 1
find 1
finds 2
fixated 1
fled 1
for 6
forum 1
from 3
fur 2
given 1
gives 1
government 2
granted 1
hall 5
has 5
hassocks 1
having 1
he 2
hell 5
help 2
her 5
hide 1
him 1
his 2
history 1
home 2
hosted 1
house 1
humans 4
in 13
including 1
intimidating 1
is 2
it 3
its 1
join 1
journey 1
later 1
learn 1
leaving 1
led 1
lends 1
lent 1
lifelong 1
litter 1
live 1
location 1
london 2
long 1
look 1
looks 1
loses 1
lost 3
love 3
manage 2
married 1
meet 1
messages 1
middle 1
missis 7
money 1
mr 4
mrs 3
names 1
nannies 1
nanny 2
newly 1
not 1
nurse 1
of 18
old 2
on 3
once 1
one 1
or 1
other 1
out 3
outer 1
own 1
owners 1
pair 1
park 1
party 2
perdita 5
pet 1
pets 3
plan 1
pongo 6
possible 1
pouring 1
prince 1
problem 1
proposes 1
publicity 1
puppies 6
puppy 1
put 1
rain 1
recognise 1
regent 1
relate 1
relay 1
removal 1
remove 1
rescue 1
rest 1
return 2
returns 1
road 1
roll 1
rolled 1
run 1
sale 1
say 1
see 1
send 1
she 1
sheepdog 1
shortly 1
should 1
shows 1
simply 1
skin 1
skins 1
slaughter 1
so 1
soon 1
soot 2
sorting 1
staffordshire 1
start 1
stay 1
steaks 1
suffolk 2
surrounding 1
take 1
tax 2
tells 3
terrier 1
that 5
the 53
theft 1
their 4
them 10
themselves 2
then 1
there 1
they 5
think 1
through 1
to 26
tommy 1
too 1
toy 1
trace 1
track 1
treated 1
try 1
twilight 1
two 2
up 1
upon 1
use 1
van 3
very 1
vet 1
vil 3
visits 1
walk 1
weak 1
wealthy 1
wet 1
wheel 1
when 1
which 1
who 3
whose 1
will 1
wiping 1
with 5
wizard 1
woman 1
worthless 1
year 1
