5927549
/m/0fdyh0
/m/0fdyh0
Tamora Pierce

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 24
about 3
afraid 1
after 3
ago 1
agrees 1
air 1
all 3
allow 1
also 1
an 3
and 24
anger 1
anybody 1
are 6
around 2
as 2
at 3
attempt 1
away 1
back 1
bad 1
bag 1
be 1
bear 1
because 6
been 2
before 1
begin 1
begins 2
bent 1
between 1
big 1
book 3
bouncing 1
box 1
boys 1
braid 1
briar 6
brought 2
but 1
by 12
can 2
cannot 2
capture 1
caught 2
cave 1
chance 1
chandler 1
children 2
choose 1
chooses 1
circle 6
closer 1
comes 1
committing 1
complete 1
concerned 1
conducts 1
conquer 1
convinced 1
cottage 2
council 2
course 1
crazy 1
crime 1
crystal 2
curiosity 1
daja 7
dark 2
darkness 1
days 2
dead 1
decide 1
decision 1
declare 1
dedicate 4
destroyed 1
destroying 1
died 1
discipline 1
discovered 1
do 2
docks 1
does 1
dog 3
doing 1
door 1
down 1
during 1
each 5
earthquake 2
either 1
emelan 2
end 2
essences 1
even 1
eventually 1
everything 1
experience 1
fa 1
fading 1
family 4
fate 1
fear 2
fierce 1
finding 1
finds 3
finish 2
first 1
fit 2
flickering 1
floats 1
food 1
for 3
forbidden 1
forefinger 1
found 1
four 8
from 3
frostpine 1
full 1
fun 1
gained 1
gang 1
garden 1
gentle 1
girls 1
go 1
going 1
goldeye 1
greatest 1
grow 1
guide 1
had 1
hail 1
hajra 1
has 2
have 3
having 1
havoc 2
he 5
help 2
her 23
hidden 1
him 1
himself 1
his 5
holds 1
house 1
however 1
ignored 1
in 17
infected 1
infuses 1
into 1
is 28
isolated 1
it 4
jobs 1
judge 1
just 2
killed 1
kind 1
kisubo 1
kitchens 1
knew 1
knives 1
knows 2
lady 1
lamp 2
large 1
lark 2
later 2
leader 1
learn 1
learning 2
left 1
light 1
lightfilled 1
lightning 1
little 1
locked 2
lone 1
long 1
looking 1
looms 1
lord 1
luck 1
mage 3
magic 5
magical 2
magically 2
main 1
making 2
matched 1
meditation 1
merchant 1
mob 1
moments 1
more 1
moss 2
mother 1
much 1
murdered 1
name 1
named 1
near 1
never 2
new 1
niklaren 1
niko 5
no 1
none 1
nonmagically 1
not 3
nurse 2
occur 1
of 25
off 1
oil 2
on 2
one 1
only 3
onto 1
open 1
opportunity 1
or 4
other 2
out 2
outcast 1
outraged 1
outside 1
overseen 1
own 1
paralyzed 1
parents 2
passed 1
path 1
person 2
piece 1
plague 1
plant 1
plants 1
pleads 1
power 1
powerful 1
practice 1
present 1
protected 1
protections 1
quake 1
rat 1
real 1
relative 2
remaining 1
remembers 2
rescued 1
roach 5
roof 1
room 3
rosethorn 2
runs 1
sandrilene 1
sandry 8
save 1
saved 1
secluded 1
seer 1
sentenced 1
sharp 1
she 14
ship 2
simple 1
skill 1
skin 1
small 1
smith 1
so 3
sort 1
sotat 1
space 2
speak 1
spin 1
starts 2
staying 1
still 1
stone 1
stopped 1
storage 1
storeroom 1
storm 2
strange 1
street 1
stronger 1
stuck 1
studies 1
studying 1
summer 1
superior 1
suraku 2
survival 1
surviving 1
survivor 2
take 2
taken 3
takes 1
tattooed 1
teacher 1
teachers 1
temple 4
that 4
the 51
their 9
them 4
then 1
there 4
they 10
thief 1
things 1
third 1
this 1
though 1
thread 1
threatens 1
three 1
through 2
thumb 1
time 2
to 24
together 2
too 1
toren 1
touch 1
trader 3
traders 1
trangshi 2
trap 1
trapped 1
traps 1
tremors 1
tris 6
trisana 1
under 2
underground 1
unknowingly 1
up 2
upset 1
used 1
vents 1
very 1
walking 1
walls 1
was 4
water 2
weather 2
weave 1
weaves 1
weaving 1
web 1
were 1
when 8
where 3
whereabouts 1
which 1
while 1
who 5
winding 5
wing 1
with 11
works 1
workshop 1
worst 1
wreaks 2
write 1
x 1
