4727280
/m/0ck9n_
/m/0ck9n_
Judy Blundell

{"/m/06n90": "Science Fiction"}
2006 1
a 1
absolute 1
agent 1
allegiance 1
an 1
and 2
as 1
august 1
believes 1
book 1
but 3
can 1
closest 1
control 1
controls 1
do 1
does 1
doubleagent 1
everything 1
evil 1
ferus 5
he 4
heart 1
help 2
him 1
his 3
in 1
including 1
is 2
jedi 1
keep 1
leader 1
leaves 1
no 1
not 1
now 1
of 1
option 1
order 1
palpatine 4
people 1
power 1
released 1
senate 1
since 1
sith 1
takeover 1
the 4
this 3
those 1
threatens 1
to 6
undercover 1
until 1
use 1
want 1
was 1
wishes 2
with 1
