5536702
/m/0drftq
/m/0drftq
Gene DeWeese
1988-09-01
a 8
advanced 1
advancement 1
alien 1
an 2
and 9
are 4
as 1
assess 1
assuming 1
away 1
back 1
before 1
believe 1
builders 2
by 1
call 1
creators 1
culture 2
data 2
derelict 3
directive 1
discovered 1
drawn 1
earth 1
earthlike 1
end 1
enterprise 1
extract 1
find 1
for 1
force 1
forge 2
from 1
further 1
geordi 1
gifts 3
harming 1
has 2
himself 1
his 1
holocaust 1
however 1
in 1
interstellar 1
into 1
investigating 1
its 1
la 2
late20thcentury 1
leading 1
led 1
lightyears 1
limited 1
mistaken 1
must 1
native 1
natives 2
nuclear 1
of 8
once 1
one 1
orbiting 1
order 1
peacekeepers 2
people 1
perception 1
planet 2
planetary 1
politics 1
populace 1
possible 1
prime 1
range 1
repository 2
role 1
sent 1
several 1
sharlon 2
similar 2
since 1
situation 2
social 2
solar 1
some 1
supporters 1
suppressive 1
system 1
technological 1
technology 1
that 3
the 18
their 3
themselves 1
there 1
they 2
those 1
time 1
to 8
transporter 1
use 1
used 1
violating 1
wars 1
way 1
were 1
which 1
while 1
who 1
with 1
without 1
world 1
worldwide 1
years 1
