17716886
/m/047pby9
/m/047pby9
Janny Wurts
1992-04-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 22
able 3
about 1
accept 1
acoma 3
actions 1
adoption 1
advisers 1
after 1
against 2
aid 1
all 2
alliance 2
allies 2
allowing 1
although 4
ambassador 1
ambush 1
ambushed 1
among 1
amongst 1
an 8
anasati 8
ancient 1
and 26
angered 1
antidote 1
anyone 1
apart 1
apothecary 1
arakasi 4
are 8
army 3
arranged 1
as 13
assassin 2
assassinated 1
assassins 1
assembly 4
assemblyreturn 1
at 1
attack 3
attempt 2
avoid 1
ayaki 1
back 1
battle 1
be 3
bear 1
because 1
been 2
begin 1
between 3
birth 1
block 1
books 1
breach 1
break 2
breaks 1
but 4
by 10
calls 1
can 2
centurieslong 1
chakaha 1
child 3
children 2
chocolate 1
choja 9
city 4
claim 1
claiming 1
clan 2
closer 1
closest 1
come 1
commander 1
commands 1
commits 1
completed 1
concerning 1
conclusion 1
conflict 2
convinces 1
coronation 1
creatures 1
culture 1
daughter 2
days 1
death 1
decoy 1
definite 1
delivery 1
destroying 2
devises 1
dies 1
discovered 2
disrupt 1
distraction 1
divorced 1
drink 1
emotions 1
emperor 5
empire 6
employers 1
ends 1
enemies 2
enter 1
estates 1
expensive 1
faced 1
falls 1
family 1
father 1
fathered 1
fear 1
fight 1
fighting 1
find 4
first 1
focused 1
for 5
forbade 1
forbid 1
forbidden 1
force 4
forced 1
foremost 1
form 1
found 1
from 1
general 1
given 1
gives 1
gods 1
golden 1
great 7
guard 2
guards 1
had 1
hadama 1
hamoi 4
has 3
hastily 1
haunt 1
he 3
heart 2
heir 1
her 20
hiding 1
highlands 1
his 6
hive 1
hokanu 7
holds 1
honor 1
honour 1
hoping 1
horseback 1
hotheaded 1
house 1
houses 2
husband 1
ichindar 2
illprepared 1
immediate 1
immediately 1
imperial 4
in 16
inadvertently 1
incurring 1
infiltrates 1
infiltrating 1
initiate 1
inside 1
intention 1
interrupted 1
into 2
introduction 1
involvement 1
ionani 1
is 17
isles 1
it 3
its 3
jehilia 2
jiro 8
journeys 1
just 1
justin 3
kamatsu 1
kasuma 1
keeping 1
kentosani 5
kevin 2
kill 1
killed 1
killing 1
kingdom 1
known 1
large 1
larger 1
last 1
late 1
later 1
launches 1
leader 2
learns 1
led 1
life 1
living 1
lord 1
love 1
mages 1
magespowerful 1
magicians 1
main 1
major 1
makes 1
male 1
manages 1
mara 22
marriage 1
marry 1
master 1
member 1
men 1
midkemian 1
mobilizing 1
more 2
mounted 1
named 1
neither 1
new 3
no 1
novel 2
of 27
oldest 1
on 6
once 1
one 2
ones 6
only 1
or 2
order 2
orders 1
other 1
out 2
own 1
paid 1
particular 1
place 2
plans 1
plot 1
poison 1
poisons 1
policy 1
population 1
poses 1
presence 1
proceeds 1
profession 1
protecting 1
protection 1
prove 1
provide 1
questioning 1
quickly 2
radical 1
range 1
reached 1
realizes 2
recipe 1
reconcile 1
records 2
recovers 1
regent 1
reinforcements 1
relative 1
represent 1
resist 1
responsible 1
result 1
resume 1
return 1
returns 1
reunion 1
revenge 1
revered 1
roads 1
romance 1
running 1
ruthlessly 1
sacrifice 1
same 1
secrecy 1
seek 1
series 2
servant 2
set 3
several 1
she 6
shinzawai 1
shocked 1
situated 1
social 1
society 1
sold 1
son 3
spy 1
spymaster 1
stagnation 1
stealing 2
strangles 1
struggle 1
subplot 1
succeed 1
summoned 1
support 1
survive 1
survives 1
suspect 1
take 1
takes 2
task 1
tasked 1
taunting 1
tear 1
temples 1
ten 1
terms 1
that 9
the 84
their 2
them 2
then 1
they 2
this 1
though 1
threats 1
throne 3
through 1
thuril 1
time 2
to 33
token 1
tong 6
tortures 1
toward 2
trader 1
transport 1
trapped 1
treaty 2
try 1
tsurani 2
tsuranuanni 1
twelveyearold 1
two 3
unborn 1
under 1
unknowing 1
upheaval 1
upon 2
vengeance 1
war 4
wards 1
way 3
well 2
where 2
which 2
while 2
whilst 1
who 9
whose 1
will 2
wishes 1
with 10
withdrawal 1
within 1
without 2
would 1
wrath 1
years 1
zn 1
