5360914
/m/02p97r5
/m/02p97r5
C. J. Cherryh

{"/m/06n90": "Science Fiction"}
a 12
ability 1
addition 1
advanced 1
alien 2
alive 1
all 3
alliance 3
allows 1
along 2
an 2
and 6
arrives 1
as 1
asks 1
at 1
attack 1
attacks 1
attempts 1
away 2
back 1
be 4
because 1
becomes 1
been 1
blocs 1
body 2
broadcast 1
burial 1
but 5
by 3
called 1
calls 1
cannot 1
captured 2
carry 1
casualty 1
cease 1
closer 1
come 2
commanders 1
communicate 1
communicating 1
completing 1
comprehend 1
concept 1
conflict 1
creature 1
creatures 1
crew 1
day 1
death 1
deaths 1
defranco 9
delegation 1
deliberately 1
destroyed 1
districts 1
do 2
does 1
down 1
downbelow 1
driven 1
elf 4
elves 6
elvish 1
end 2
ends 2
enemy 2
english 1
establish 1
eventually 1
except 1
explains 1
fail 1
fellow 1
few 1
fifteen 1
fight 1
fighting 1
finds 1
fire 1
follow 1
for 2
friends 1
from 2
front 1
get 1
grenade 1
has 3
have 2
he 6
hearts 1
himself 3
his 4
homeworld 1
hopes 1
how 1
human 5
humans 4
hundred 1
in 6
inside 1
instantly 1
interred 1
is 7
it 4
its 1
john 1
join 1
joins 1
killed 1
later 1
learned 1
learns 1
leave 1
left 2
less 1
lieutenant 1
little 1
locked 1
make 1
meanwhile 1
meeting 1
mired 1
mission 1
mistakes 1
mythical 1
negotiate 1
neutral 1
no 1
not 4
of 10
on 2
one 6
or 1
other 1
outside 1
overmatched 1
paper 1
passed 1
peace 1
piece 1
place 1
pointedly 1
power 1
prisoner 3
puzzlingly 1
race 1
realizes 1
recording 1
relations 1
remain 1
require 1
resemblance 1
saitas 4
scientists 1
second 1
side 1
sign 1
single 1
so 1
soldier 1
speak 1
speaks 1
starship 1
stop 1
take 1
takes 2
talk 1
technologically 1
tells 1
that 6
the 36
their 4
them 2
then 1
they 3
thinking 1
three 1
time 1
to 18
too 1
treaty 2
tries 1
trust 1
try 2
turn 1
twentyyearlong 1
unarmed 1
understanding 1
unprovoked 1
up 1
use 1
very 1
wants 1
war 3
way 1
what 1
when 3
who 1
why 1
will 3
willing 1
with 3
within 1
without 1
world 1
written 1
young 1
