14671020
/m/03gsjm3
/m/03gsjm3
Eliza Parsons
1793
{"/m/039vk": "Gothic fiction"}
a 29
abduction 1
about 7
accept 1
accompany 1
accusing 1
actions 1
actually 1
admitted 1
adorn 1
advises 1
affections 1
after 7
again 2
agatha 2
agreed 1
agrees 1
ah 1
aid 1
albert 4
alive 1
along 1
already 1
also 1
am 1
ambassador 4
amends 1
an 7
ancestry 1
and 77
another 1
anymore 1
anyone 2
apartment 1
are 2
area 1
arrive 1
arrives 1
as 3
asks 1
assumes 1
at 8
attacked 1
attempt 1
attending 1
austere 1
avoid 1
away 4
back 1
background 1
ball 1
barbary 1
be 4
because 3
becomes 1
bed 2
been 3
before 4
begins 1
berniti 2
bertha 6
berthas 1
beseech 1
between 1
birth 1
bloody 1
boat 2
born 1
both 3
boulogne 1
bouville 6
bouvilles 1
box 1
breaking 1
brother 1
brought 1
burnt 1
burst 1
business 1
but 11
by 4
came 1
cannot 1
captain 1
caress 1
caretakers 1
carthusian 1
castle 8
castles 1
causing 1
chains 1
chamberlains 1
charlotte 1
chevalier 4
child 1
childbirth 1
children 1
circumstance 1
closet 1
comes 1
communicating 1
communication 1
company 1
concerning 1
condemn 1
confession 1
confirmed 1
congratulates 1
consults 1
control 1
convent 6
conversation 1
converse 1
conviction 1
convinced 2
corpse 1
corsairs 1
cottage 1
count 19
countess 12
counts 2
courage 1
courtney 5
criminal 1
cruel 1
cursory 1
custody 1
daughter 1
day 2
days 1
de 12
dead 1
death 2
deaths 1
decided 1
decides 2
delby 1
delbys 1
deliver 1
delivered 1
demands 1
desperately 1
determine 1
did 1
died 3
difficulties 1
discovered 1
disorder 1
disposal 1
do 1
does 1
doesnt 1
during 1
dying 2
either 1
embarks 1
encounters 1
ends 1
england 4
enters 1
entertained 1
equal 1
escaped 1
escapes 1
esteem 1
europe 1
even 2
every 1
exalted 2
exchanging 1
exists 1
explaining 1
explains 2
eyes 1
faked 1
falls 2
false 1
family 1
fatal 1
fate 1
father 1
fear 1
few 3
finally 1
find 1
finding 1
finds 2
fire 1
first 1
fled 1
follows 1
fontelle 2
for 7
fortune 1
found 2
france 5
french 2
friends 2
friendship 1
from 9
front 1
gate 1
german 2
germany 1
get 1
ghosts 1
girl 1
glory 1
go 3
goes 1
gone 1
good 1
groans 1
ground 1
had 4
hand 1
harm 1
has 11
hate 1
haunted 1
have 4
having 1
he 11
health 1
hear 1
hearing 1
hears 3
heaven 1
her 55
herself 2
him 11
himself 1
his 19
honor 1
horse 1
hotel 1
house 1
husband 1
i 8
if 1
ill 3
immediately 1
immoral 1
impression 1
in 28
incorrectly 1
infant 1
information 1
informing 1
inhabited 1
instant 1
intentions 1
intercepted 1
intimate 2
intimates 1
into 5
investigated 1
involuntarily 1
is 26
it 2
italy 1
jaqueline 1
join 1
joined 1
joining 1
joseph 9
journey 1
justly 1
keep 1
kidnapping 3
kill 1
killed 2
knife 1
knows 1
labor 1
lady 6
ladys 2
later 1
learn 1
learned 1
learns 1
leave 1
leaves 2
leaving 1
legally 1
letter 7
letters 1
life 4
lines 1
listening 1
live 1
lived 1
living 1
locked 3
london 3
long 1
lord 3
love 4
loved 1
loves 1
made 2
mademoiselle 3
magdalene 2
make 1
man 2
marchioness 1
margarite 1
marquis 16
marriage 4
married 1
marry 5
match 1
matilda 40
matildas 8
matters 1
may 1
me 3
meanwhile 2
meet 2
meets 1
melfort 3
men 1
might 1
misconstrued 1
misunderstood 1
monastery 1
more 1
morning 1
most 2
mother 6
moving 1
mr 11
mrs 5
murdered 2
my 5
myself 1
named 1
neighboring 1
never 2
newly 1
newlydiscovered 1
news 1
next 3
niceties 1
night 3
no 3
noises 2
not 4
novel 1
now 2
nun 1
nurse 1
oath 2
obscure 1
occupancy 1
of 43
off 1
offering 1
offers 1
older 1
on 6
once 2
one 4
only 1
opinion 1
or 1
other 1
ours 1
out 2
overheard 1
overtures 1
own 1
owner 1
pain 1
parentage 1
parents 1
past 3
path 1
peasants 1
penitence 1
perseverance 1
pierre 1
pirate 1
pirates 1
place 1
plan 1
plans 1
pleasantries 1
pleasure 1
possibility 1
power 1
presumption 1
prevent 1
profession 1
promises 1
property 2
proposal 1
proposes 1
protect 1
protection 1
punishment 1
rank 1
rape 1
raping 1
rather 1
reader 3
realizing 1
reason 1
reasons 1
received 1
receives 3
reciprocated 1
refuses 1
regain 2
rejects 1
related 1
relationship 1
remain 1
reputation 1
request 1
resides 1
resigns 1
rest 2
retire 1
reveals 2
rich 1
right 2
romance 1
room 3
ruin 1
rumors 2
safe 1
said 1
saying 4
says 3
second 1
secrets 1
see 2
sees 1
sends 1
sent 1
servant 6
servants 1
sex 1
she 28
short 1
should 1
shows 2
sickbed 1
since 1
sir 1
sister 4
sisters 1
situation 2
so 3
socalled 1
society 1
sold 1
son 2
soon 1
spare 2
spend 1
spent 1
spoken 1
spread 1
spreading 1
stabs 1
started 1
states 1
staying 2
still 1
story 4
strikes 1
superior 1
superiority 1
supposed 1
take 2
taken 2
talking 1
tell 4
telling 1
tells 7
ten 1
that 26
the 120
their 5
them 4
then 5
there 4
they 8
thinking 1
this 5
threw 1
through 2
time 2
to 59
took 2
towards 1
tower 1
travelled 1
travels 2
true 1
turning 1
two 1
unbeknownst 1
uncle 5
under 4
undone 2
unfortunate 1
unhappy 1
unknown 1
unnecessary 1
up 9
upbringing 1
upon 1
ursuline 2
ventures 1
vicious 1
victoria 6
virtue 1
visitor 1
volume 1
voyage 1
wakes 1
wants 1
was 8
we 1
wedding 1
weeks 1
weimar 12
went 3
were 1
when 1
where 3
which 4
while 3
who 5
whom 1
wife 4
will 7
wishes 2
with 21
witness 1
wolfenbach 14
wolfenbachs 1
women 1
woods 1
would 1
wouldnt 1
write 1
writes 1
year 1
years 1
you 6
your 6
yours 1
yourself 1
