474349
/m/02dwwx
/m/02dwwx
David Brin
1999-05
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 12
about 1
accept 1
after 1
agrees 1
all 2
an 3
ancient 2
and 11
another 1
antic 1
antics 1
apparent 1
are 3
as 3
asks 1
at 1
back 1
be 3
become 1
been 1
belief 2
betting 1
both 1
bureaucrat 1
by 2
calvinians 2
capsules 2
certain 1
chaos 1
chapters 2
character 1
completed 1
confides 1
consulted 1
correct 1
correctly 1
correlation 1
cyborgs 2
daneel 5
data 2
day 1
demarchia 1
despite 1
destroy 1
device 1
different 1
discuss 1
dominance 1
dors 2
during 2
earth 1
editions 1
empire 1
encyclopedia 2
eos 1
erased 1
eventual 1
explains 1
fact 1
faction 2
factions 1
fights 1
final 1
finds 1
first 1
fit 1
flight 2
following 1
for 2
foundation 1
foundations 3
founded 1
founding 1
framing 1
friends 1
from 4
future 1
galactic 1
galactica 1
galaxia 3
giskard 2
gives 1
gornon 1
hari 3
has 3
have 1
he 1
head 1
her 1
his 6
horis 2
human 2
if 1
important 1
in 2
include 1
interesting 1
into 1
is 5
it 2
its 1
joins 1
ktlina 1
last 1
later 1
law 2
laws 1
life 1
lodovic 1
lodovik 1
lurrin 1
main 1
many 1
meet 3
meets 2
most 1
never 1
novel 1
novels 1
now 1
of 11
old 1
olivaw 2
on 4
one 2
or 1
out 3
over 2
panucopia 1
parallel 1
past 1
permission 1
philosophy 1
plan 1
planet 3
planets 2
plot 1
point 1
possible 1
predicted 1
psychohistory 1
purpose 1
r 2
rebel 2
rebels 1
regularly 1
renaissance 1
rent 1
reventlov 1
reviews 1
robot 3
robotics 1
robots 1
second 1
seems 1
seldon 11
seldons 1
send 1
she 2
ships 1
show 1
since 1
soils 1
some 1
spaceships 1
starts 2
stopped 1
story 2
successful 1
successor 1
synthesis 1
take 2
taken 1
talks 1
that 6
the 30
them 1
theory 2
there 2
they 2
third 1
thousand 1
three 1
time 1
to 12
trantor 1
travel 1
trema 2
trip 1
triumph 1
turns 1
two 2
typeface 1
updated 1
use 1
venabili 1
vlimt 1
wanda 1
want 1
well 1
where 1
which 1
while 1
who 5
whose 1
will 3
with 5
written 1
yacht 3
years 1
zeroth 2
zun 1
