5411302
/m/0dknx5
/m/0dknx5
Eoin Colfer
2004-03-04
a 7
after 1
alerted 1
already 1
also 1
and 4
artemis 5
as 3
at 2
back 1
been 2
before 1
belonging 1
blue 2
brings 1
but 1
by 2
calls 1
captain 1
catches 1
circus 2
city 1
claims 1
clear 1
colour 1
contains 1
council 1
de 1
diamond 4
diggums 1
discovered 1
dwarf 1
dwarfs 1
dwarves 1
dwerg 1
european 1
eyes 1
fake 1
father 2
fei 2
fences 1
find 1
foaly 1
for 3
fowl 3
gang 1
gift 1
gives 1
has 1
have 2
he 4
helmet 1
her 3
him 2
his 3
holly 2
however 2
in 3
incident 1
intends 1
ireland 1
is 1
it 3
jewellery 1
knocking 1
laser 1
leader 1
led 1
lep 2
lures 1
luxury 1
manages 1
manor 1
mother 1
mulch 3
must 1
name 1
new 1
nlartemis 1
not 1
of 2
oneofakind 1
out 1
people 1
perform 1
plan 1
plane 1
priceless 2
promises 1
relaxing 1
reminded 1
resort 1
saying 1
sell 1
sergei 2
several 1
she 1
short 2
significant 1
six 1
sneaks 1
steal 1
stole 1
stolen 2
swap 1
takes 1
that 4
the 16
their 1
then 1
tiara 4
to 10
track 1
ultimately 1
underground 1
use 1
waiting 1
which 1
while 1
will 1
with 1
york 1
zevende 1
