8679863
/m/027dr29
/m/027dr29
Stephen Cole

22nd 1
a 1
africa 1
agriteams 1
alien 1
an 2
ancient 1
and 2
are 1
around 1
arrives 1
as 1
basel 1
been 1
by 1
century 1
chad 1
detect 1
doctor 2
dormant 1
earth 1
explain 1
feed 1
food 1
growing 1
has 1
have 1
however 1
hungry 1
in 4
just 1
landed 1
meet 1
millions 1
mount 1
moves 1
nabarr 1
nearby 1
of 1
realises 1
rich 1
right 1
rose 1
signal 1
soil 1
solomon 1
something 1
tardis 1
tarsus 1
that 1
the 8
time 2
to 1
trap 1
travellers 2
triggered 1
tunnels 1
volcanic 1
volcano 1
where 1
who 1
