5564728
/m/0dssy_
/m/0dssy_
Mike Resnick
2001-05
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
3 1
about 1
adbuljordan 1
alien 1
all 1
an 1
and 6
arrived 1
at 1
back 1
baker 2
before 1
betaworld 1
big 2
by 1
career 1
carson 1
catastrophe 2
characters 1
did 1
divided 1
doing 1
dragon 1
eddie 1
everyone 1
fact 1
fates 1
find 1
gathered 1
greatest 1
hellfire 1
heroes 1
highstakes 1
history 2
in 1
interrupted 1
into 1
invasion 1
ironarm 1
is 2
landship 1
last 1
legend 2
little 1
magic 1
mcpherson 1
met 2
mike 1
mound 1
night 1
novel 1
of 6
ogrady 1
others 1
out 1
outpost 1
painting 1
people 1
queen 1
react 1
red 2
section 1
sections 1
sees 1
share 1
short 1
silverstrike 1
siren 1
starcrossed 1
stories 2
storytelling 1
system 1
tell 1
the 16
their 1
they 4
things 1
time 1
to 2
took 1
were 1
what 1
when 1
which 1
