4171130
/m/0bm_1b
/m/0bm_1b
Yukio Mishima
1948
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 14
actually 1
admires 1
admit 1
age 3
almost 1
also 1
and 12
annoyed 1
approached 1
arc 1
argued 1
around 1
as 5
at 2
attracted 1
autobiographical 1
away 2
be 1
become 1
being 1
believes 1
body 4
book 3
born 1
boys 1
builder 1
but 2
by 2
caucasian 1
chapter 1
childhood 1
clothing 1
come 1
comes 1
context 1
continuously 1
death 1
details 1
develops 2
does 1
doing 1
dress 1
due 1
during 2
each 1
early 3
embarrassed 1
era 1
even 1
ever 1
everybody 2
exposed 1
fall 1
false 1
fantasies 1
fascination 1
fascinations 1
feelings 1
first 2
fit 3
fitness 1
forever 1
four 1
friend 1
from 5
future 1
gazing 1
generally 1
girl 1
grows 1
half 1
hard 1
have 2
having 1
he 12
her 1
heroiclooking 1
hiding 2
him 2
himself 3
his 7
homosexual 2
horseback 1
how 1
immediately 1
imperial 1
imperialism 1
in 9
indeed 1
intensely 1
into 2
is 15
it 3
japan 1
japanese 1
japans 1
joan 1
keep 1
kept 1
knight 3
kochan 9
kochans 1
latent 1
led 1
lessthanideal 1
like 1
likely 1
longingly 1
love 2
main 1
male 1
manliness 1
mans 1
masculinity 1
mask 1
masquerade 1
memory 1
men 1
militarism 1
mishima 3
model 1
named 1
naturally 1
norm 1
not 2
novel 1
nurse 1
of 13
off 1
old 1
omis 1
on 2
openly 1
other 1
others 1
own 2
paragon 1
participating 1
personality 1
physical 1
picture 3
pornography 1
portion 1
posited 1
present 1
professes 1
protagonist 1
puberty 1
put 1
raised 2
recalls 1
referred 1
reluctant 1
rightwing 1
robustness 1
see 1
sex 1
similar 1
single 1
society 2
some 2
sonoko 1
story 1
strength 1
struggles 3
superbly 1
tells 1
terms 1
that 9
the 15
their 1
thinking 1
this 3
through 1
throughout 1
thus 1
to 16
too 1
tormented 1
tries 1
true 1
truly 1
unable 1
up 1
urges 1
uses 1
very 1
violence 1
wanting 1
was 2
way 1
weak 1
weakness 1
what 2
when 3
which 1
with 3
woman 1
word 1
worked 1
world 1
would 1
years 1
yet 1
young 1
