2072053
/m/06k6gs
/m/06k6gs
Sarah Dessen
2004-05-11
{"/m/03mfnf": "Young adult literature"}
a 10
able 1
about 4
accident 1
advises 2
after 1
again 1
against 1
all 3
also 1
an 1
and 15
any 1
applies 1
artistic 1
as 1
assist 1
at 4
attempts 1
attended 1
attends 1
august 1
away 1
be 1
beach 2
because 1
becky 3
become 1
been 1
begins 1
being 2
best 1
bonds 1
boyfriend 1
brain 1
break 2
breaking 1
broken 1
but 2
camp 1
car 1
catered 1
catering 3
changing 1
closer 1
comfort 2
communicate 1
confess 1
confesses 1
continue 1
couple 1
coworker 1
coworkers 3
currently 1
death 2
deciding 1
despite 1
died 1
discovers 3
during 5
emails 1
end 2
ends 2
enjoy 1
enjoys 1
entering 1
eventually 1
family 2
father 4
feelings 1
for 6
forever 1
from 3
game 2
gas 1
gets 1
girl 1
gives 1
goes 1
grow 1
habit 1
habitual 1
has 4
have 1
he 4
heartbroken 1
helping 1
her 28
herself 1
him 5
his 1
house 2
hurt 1
husband 1
if 1
in 6
into 1
is 4
issues 2
it 2
jason 2
job 3
joins 1
keeps 2
kristy 1
later 5
library 1
life 2
loss 1
lost 1
loves 1
macy 18
mainly 1
meets 1
members 1
morning 1
mother 8
named 1
new 2
now 1
of 11
older 1
on 1
one 2
opens 1
other 1
out 1
party 3
play 1
possible 1
preparations 1
proceeds 1
put 1
recovering 1
reform 1
refuses 1
relationship 3
reluctance 1
renovate 1
renovated 1
replies 1
results 1
resuming 1
returns 1
ride 1
running 2
runs 2
school 1
sees 2
she 9
since 1
sister 1
some 1
still 1
stranded 1
succeeds 1
sudden 2
talk 1
tells 1
that 5
the 11
their 4
there 2
therefore 1
they 2
thinks 1
this 4
time 3
to 15
together 2
took 1
truth 1
unable 1
unhappiness 1
until 1
up 6
upset 1
van 2
wes 10
when 1
where 3
which 2
who 2
wish 2
with 12
work 2
would 1
