2033119
/m/06gjyq
/m/06gjyq
Neil Sheehan
1988
{"/m/03g3w": "History", "/m/05h83": "Non-fiction"}
16 1
160s 1
162 1
163 1
165 1
172 1
2 1
a 9
accident 1
account 4
adapt 1
adviser 1
alienated 1
america 2
an 4
and 10
antecedents 1
ap 1
ardent 1
argued 1
army 2
as 2
assignment 1
at 1
attempt 1
author 1
bac 1
back 2
backing 1
battle 1
became 1
before 1
begins 1
being 1
beleaguered 1
book 5
books 2
both 1
browne 1
but 1
by 1
career 1
chapters 1
command 3
compromised 1
conflict 2
confrontation 1
cong 1
corps 1
corrupt 2
counterproductive 1
critic 1
critical 1
criticism 1
criticized 1
david 1
death 1
defeat 1
detailed 1
detailing 1
details 1
disseminate 1
divided 1
doomed 1
early 1
employed 1
especially 1
eventually 1
example 1
facing 1
fact 1
final 1
following 1
for 2
formula 1
fought 2
friend 1
funeral 1
further 1
give 2
gives 1
giving 1
guerrilla 1
halberstam 1
hamlet 1
hands 1
he 7
helicopter 1
his 6
history 1
how 2
humiliating 1
i 1
ii 1
iii 1
implement 1
in 11
inability 1
including 1
incompetent 1
increasingly 1
influence 1
into 1
involvement 2
is 1
iv 1
january 1
john 1
june 1
malcolm 1
many 1
military 5
movement 1
neil 1
objectives 1
of 14
often 1
on 4
once 1
origin 1
part 2
particular 1
paul 1
personal 2
popular 1
population 1
present 1
press 1
prologue 1
regime 3
relocation 1
return 1
saigon 3
seven 1
shambolic 1
sheehan 2
south 1
strategic 1
subsequent 1
suffered 1
system 1
tactics 1
tells 2
that 2
the 32
their 1
they 1
thus 1
time 1
to 12
tracks 1
transfer 1
unable 1
under 1
us 5
used 1
v 1
vann 7
vi 1
viet 1
vietnam 5
vietnamese 1
viewed 1
views 1
vii 1
volume 1
war 5
was 6
way 1
went 1
were 2
westmoreland 1
which 2
while 1
william 1
winning 1
with 3
