272323
/m/01nz60
/m/01nz60
Greg Egan
1994
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/07g8l": "Transhumanism"}
2045 1
2050 1
a 69
ability 1
about 1
according 1
accumulated 1
acting 1
actual 1
actually 3
advance 1
advanced 1
advantage 1
afford 1
after 8
again 2
agrees 1
alarm 1
all 4
allow 3
along 2
also 3
although 2
always 1
among 1
amounts 1
an 8
anchor 1
and 63
any 3
anything 1
architect 1
are 7
around 1
artist 1
as 35
asian 1
asleep 1
assiduously 1
association 1
at 6
attempt 2
autobacterium 1
automated 1
automaton 3
autoverse 19
awkward 1
awoken 2
back 3
backers 1
backups 1
based 2
bathtub 1
be 25
bearing 1
became 2
because 4
become 3
becomes 1
been 9
begin 1
begins 2
being 12
beings 2
believe 2
believed 3
believes 3
believing 1
better 1
between 3
billion 1
biological 1
blocks 3
board 1
bodies 2
body 1
book 1
both 2
brain 1
breaking 1
bring 1
build 1
businesses 1
but 3
buyout 1
by 11
byproduct 1
call 1
called 1
callous 1
came 1
can 1
capable 1
capacity 2
care 1
carter 2
case 1
cause 2
cease 1
ceased 2
celebration 1
cellular 4
central 1
certain 1
change 3
chaotic 1
chunk 1
chunks 1
citizens 2
city 14
civilisation 1
claims 1
clandestinely 1
clash 1
climate 2
close 1
cloud 1
code 1
collapse 1
collection 1
combined 1
come 1
commissions 1
common 1
commonly 1
community 1
companions 1
complete 1
complex 2
complexity 1
computability 1
computable 2
computation 1
computed 3
computer 5
computing 5
con 1
conceived 1
conceiver 1
concept 3
conclusion 1
confident 1
confides 1
configuration 5
conscious 3
consciousness 3
consider 3
considering 1
constant 1
construct 1
contact 3
contacts 1
contiguous 1
continuation 2
continue 1
continuing 1
continuouslygrowing 1
control 1
convince 3
convinced 1
convinces 1
conway 1
cope 1
copies 15
copy 18
copying 1
corrupted 1
could 2
course 1
covertly 1
crazy 1
create 1
created 1
creation 1
creator 5
creatures 3
crowds 1
cruft 1
culture 1
cured 1
currency 1
current 1
de 1
deals 1
deaths 1
debarring 1
decades 1
declines 1
