2916601
/m/08cdf8
/m/08cdf8
Lee Hall

18485 1
a 25
aborted 1
abusive 1
accent 1
accept 1
accepted 2
accidentally 1
achieve 1
advice 1
advises 1
after 2
ahead 1
all 1
alone 2
an 6
and 38
angry 1
annual 1
another 1
antagonist 1
anymore 1
anything 2
applicants 1
approach 1
are 6
argue 1
argument 2
arrive 1
arrives 4
as 5
ask 1
at 6
attempts 1
attending 1
attracted 1
audition 12
away 1
back 2
background 1
ballet 12
battles 1
be 2
because 2
becomes 2
been 2
beginning 1
begins 1
behind 2
being 1
best 1
between 1
billy 43
billys 2
bin 1
bloody 1
blows 1
bonding 1
boogie 1
born 1
boxing 1
boy 2
boys 1
bright 1
bringing 1
brother 3
bus 1
but 10
by 6
calls 2
career 1
cast 1
caved 1
celebrate 1
centre 1
chastises 1
cheek 2
child 1
children 1
christmas 2
clash 1
class 5
clothing 1
coal 2
come 1
comes 3
comfort 1
coming 1
committee 1
community 3
confesses 1
confirms 1
continues 1
contrast 1
could 1
county 1
cross 1
crush 1
daily 1
dance 9
dancer 5
dances 2
dancing 2
daughter 1
day 3
dead 3
dear 2
debbie 2
deceased 1
decides 1
declaration 1
deep 1
departs 1
describe 1
develops 1
did 2
difficult 1
discourage 1
discovers 2
discuss 1
disdaining 1
dismally 1
disparaging 1
do 2
does 3
donation 1
down 1
drained 1
dream 1
dreaming 1
dress 1
dressing 1
drunk 1
durham 2
easily 1
electricity 1
elevenyearold 1
elicits 1
elliot 7
elliots 2
else 1
emotion 2
end 1
engaged 1
enough 1
enraged 1
ensure 1
enthusiastic 1
entire 1
escapes 1
eventually 3
everyone 3
everything 2
explaining 1
explains 1
expressing 1
fact 1
families 1
family 4
fare 1
father 11
fearful 1
fed 1
feeling 1
feelings 1
feels 2
fighting 1
finale 1
finds 2
finishes 1
first 3
folk 1
for 22
forbids 1
force 1
forced 1
free 1
friend 1
from 7
front 1
fun 1
future 3
gathered 1
gay 1
gear 1
get 4
gets 2
give 1
gives 2
goes 4
goodbye 3
grace 1
grandma 1
grandmother 1
ground 1
grownup 1
had 1
hall 1
has 7
have 5
he 23
heartfelt 1
help 4
helping 1
her 3
heralds 1
highlights 1
him 18
his 33
hit 1
home 2
hope 1
house 1
hundreds 1
husband 1
imagination 1
important 2
impressive 1
in 15
informs 1
infuriated 1
inhibitions 1
injured 1
inspire 1
intersperses 1
into 4
is 17
it 3
just 2
keeping 1
kept 1
kings 1
kiss 2
kitchen 1
knowing 1
known 1
lake 1
later 1
learning 1
leave 1
leaves 3
leaving 1
left 1
lesson 1
lessons 3
let 1
lets 1
letter 4
life 2
like 2
likes 1
line 1
little 1
london 3
londoner 1
look 1
looking 1
lost 1
loved 1
made 1
maggie 1
mam 1
man 1
margaret 1
mean 1
meanwhile 1
meets 1
members 1
memories 1
merry 1
michael 7
miner 2
miners 8
mining 1
minister 1
money 1
months 1
more 1
mother 2
motherless 1
mr 6
mrs 10
mum 1
music 1
nearly 2
neighbours 1
nervously 1
news 1
no 1
northern 1
not 8
now 1
number 1
of 20
off 1
offers 3
often 2
old 1
on 8
once 1
one 4
only 3
or 2
other 1
out 3
outside 1
over 1
overcome 1
overwhelm 1
overwhelmed 1
packs 2
passion 1
pay 3
peaceful 1
person 1
persuades 1
picked 1
picket 1
player 1
point 1
police 5
ponders 1
pounds 1
practise 1
preparation 1
prepare 1
pride 1
prime 1
private 2
privately 1
prospects 1
punches 1
put 1
questioning 1
rage 1
reality 1
received 1
receives 1
recognizes 1
refuses 2
related 1
relationship 1
reminds 1
reply 1
required 1
responds 1
restrictive 1
resume 1
retrieves 1
return 1
returning 1
reveal 1
reveals 2
right 1
riot 2
routine 1
royal 4
run 1
running 2
runs 1
sad 2
same 1
say 1
saying 2
says 3
school 7
secret 2
seen 1
sees 1
sharply 1
she 9
shine 1
should 1
show 3
shun 1
since 1
sings 1
sinking 1
situation 1
six 1
so 1
solidarity 1
some 2
song 2
soup 1
speaks 1
special 1
stage 1
standards 1
star 1
stars 1
stay 1
stays 1
still 1
stoic 1
strict 1
strike 5
strikebreaker 1
struggle 1
suggests 1
suitcase 1
support 3
sure 2
swan 1
table 1
take 1
takes 1
talent 2
task 1
teaching 1
tears 1
tells 1
thank 1
that 20
thatcher 2
the 84
their 1
them 1
there 2
they 4
thick 1
thing 1
things 2
this 2
through 1
time 3
times 1
to 49
tony 8
too 1
tough 1
tries 3
trip 3
trying 1
turn 1
two 1
union 2
unity 1
unknown 1
up 3
uppercrust 1
upsets 1
usually 1
very 2
village 1
violent 1
visits 3
waits 1
walks 1
wants 1
was 2
wasnt 1
waste 1
watches 1
way 2
we 1
wearing 1
well 1
were 1
what 3
when 3
whether 2
which 2
while 4
who 6
wife 1
wilkinson 9
wilkinsons 1
will 1
with 14
woman 1
work 2
working 1
workingclass 1
would 2
year 2
your 1
yourself 1
