1703697
/m/05pr53
/m/05pr53
John Grisham
1999-02-02
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 7
affairs 1
after 2
agrees 1
alcoholic 1
all 2
also 1
although 1
america 1
an 2
and 11
anything 1
are 2
argue 1
arrives 1
as 5
at 1
attempting 1
back 1
be 4
believed 1
benefit 1
billionaire 1
boat 1
book 1
both 1
brazil 1
business 1
but 2
by 4
caring 1
case 1
children 3
civilization 1
commits 1
connected 1
contest 3
continue 1
contracting 1
control 1
convince 1
corumb 1
court 1
daughter 1
decide 1
dengue 1
deposition 1
destroy 1
died 1
disprove 1
does 1
dollars 1
due 1
during 1
each 1
eccentric 1
elderly 1
embarrassment 1
end 1
even 1
ever 1
everything 1
evidence 1
examined 1
exwives 1
family 2
fearing 1
fees 1
fever 1
fifty 1
fighting 1
finally 2
find 1
finding 1
for 2
fortune 1
from 3
further 1
get 2
greed 1
guide 1
has 2
have 1
he 4
heiress 1
her 1
highpowered 1
his 8
however 1
hurt 1
if 1
illegitimate 1
in 6
indigenous 1
instead 1
instructions 1
into 4
is 7
it 2
itself 1
journey 1
jungle 1
kills 1
lacking 1
lane 2
lawyer 1
lawyers 3
learns 1
leaving 1
left 1
legacy 1
legal 1
litigation 1
living 2
locate 1
lying 1
malaria 1
marriages 1
matter 1
mdash 1
meantime 1
million 1
minus 1
minutes 1
missionary 1
money 1
month 1
mosquito 1
much 1
multiple 1
nate 9
nation 1
nearly 1
neglect 1
new 2
not 2
now 2
of 13
off 2
on 1
or 1
order 1
oriley 1
otherwise 1
over 2
paid 1
pantanal 2
peoples 1
personal 1
phelan 3
place 1
plaintiff 1
power 1
protecting 1
psychiatrists 1
put 1
quagmire 1
rachel 6
realize 1
reason 1
recovering 1
refuses 1
relatives 1
respective 1
returns 2
revulsion 1
riding 1
sanity 2
sent 1
settle 1
settlement 1
she 2
should 1
shows 1
shreds 1
sign 1
six 1
south 1
states 1
stop 1
suicide 1
take 1
tasked 1
testimony 1
that 7
the 29
their 4
they 3
three 2
time 1
to 18
took 1
top 1
torn 1
trial 1
tribe 1
troy 6
trust 2
trying 1
turning 1
two 1
unable 1
united 1
vast 1
was 3
way 1
well 2
when 2
where 1
which 2
while 1
will 8
wishes 1
with 4
witnesses 1
would 1
years 1
