4414851
/m/0c10yg
/m/0c10yg
T. Coraghessan Boyle
1984-05-03
{"/m/05hgj": "Novel"}
a 7
acquaintance 1
after 1
always 1
an 1
and 2
any 1
area 1
as 1
at 2
been 1
beginning 1
book 1
business 1
but 1
by 1
californiaand 1
campa 1
county 1
decides 1
doomed 1
end 1
ends 1
failure 1
fallen 1
felix 1
few 1
first 1
follow 1
for 2
friends 1
from 1
future 1
girl 2
grow 1
has 3
he 3
her 1
himself 1
his 2
hopes 1
illegal 1
in 4
is 3
large 1
little 1
love 1
lovely 1
made 1
man 1
many 1
marijuana 1
mendocino 1
misadventures 1
narrative 1
narrator 1
nasmyth 3
note 1
of 3
on 2
once 1
one 1
optimistic 1
part 1
person 1
persuaded 1
plans 1
plant 1
prove 1
quitter 1
readers 1
returning 1
right 1
rural 1
same 1
scale 1
secluded 1
seed 1
seems 1
something 1
start 1
summer 1
take 1
tells 1
the 11
through 1
time 1
to 5
venture 2
who 1
with 2
without 1
young 1
