10933127
/m/02qvdsj
/m/02qvdsj
Armistead Maupin
1987
185 1
28 1
a 10
accidentally 1
action 1
alcatraz 1
also 2
an 1
and 11
ann 2
anna 1
appearance 1
area 1
around 1
arts 1
as 3
at 3
azt 1
balancing 1
barbary 1
bestselling 1
bohemian 2
bonding 1
book 1
booter 1
brian 2
businessmen 1
by 1
captive 1
care 1
career 1
character 1
characters 2
child 1
club 1
collegeaged 1
combat 1
commitment 1
connie 1
deathbed 1
dede 2
difficulty 1
dorothea 1
douglas 1
downriver 1
during 1
encampment 1
entrusted 1
events 1
festival 1
fighting 1
focus 1
for 1
francisco 1
friend 1
from 2
fun 1
gather 1
gay 1
getting 1
girl 1
globe 1
grove 1
halcyonday 1
harvard 1
has 1
having 2
held 1
her 6
here 1
hill 1
his 1
historic 1
hivpositive 1
hope 1
hostess 1
immune 1
in 2
include 2
interested 1
into 2
is 7
it 1
its 1
jed 1
landlady 1
lane 2
law 1
lesbian 1
local 1
madrigal 1
makes 1
making 1
male 1
man 1
manigault 1
mary 2
meets 1
member 1
michael 2
militant 1
minor 1
model 1
money 1
more 2
mother 1
mothers 1
much 1
music 1
nephew 1
new 1
north 1
now 1
obligations 1
of 9
offers 1
on 3
one 1
organizers 1
overweight 1
plussize 1
preserve 1
previously 1
reaganite 1
relationship 1
returning 1
river 1
roger 1
romantic 1
russian 2
san 1
selfhelp 1
set 1
shawna 1
show 1
singleton 1
stepfather 1
steps 1
stumbles 1
successful 1
sweeney 1
system 1
taking 1
talk 1
tenants 1
tested 1
thack 1
than 1
the 12
them 1
there 1
threat 1
threaten 1
threeweek 1
to 8
tolliver 1
tour 1
transgendered 1
while 1
who 6
whose 1
wife 1
wilson 1
wimminwood 2
with 1
women 1
wooden 1
wren 1
young 1
