849932
/m/03gzt_
/m/03gzt_
Tom Clancy
2000
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 15
abortion 1
about 1
access 1
actions 1
admit 1
advisor 1
advisors 1
against 2
agent 1
aging 1
ah64 1
all 1
allies 1
already 1
also 1
an 12
and 11
antimissile 1
apache 1
armoured 1
army 1
arrests 1
as 1
assassinate 1
assistance 1
at 4
attacks 1
attempt 2
authorities 1
baptist 1
behind 1
beijing 2
being 1
benato 1
board 1
boycott 1
bright 1
broadcast 1
but 2
by 3
car 1
cardinal 2
carries 1
casualties 1
causing 1
centre 1
chairman 1
chauffeured 1
china 5
chinese 11
cia 3
clark 1
cnn 2
coastal 1
collects 1
communist 1
computer 1
counter 1
coverage 1
credited 1
crew 1
dc 1
de 1
decide 1
decides 2
defense 1
defenses 1
democracy 1
desperate 1
destroy 1
destroys 3
direct 1
discovered 1
discovery 1
discussion 1
dispatched 1
docked 1
down 1
driver 1
drones 1
due 2
economy 1
enter 1
evacuated 1
expansions 1
experimental 1
fa 1
facility 1
family 1
fang 3
feeds 1
fields 1
fleet 1
followers 1
for 4
force 1
forced 1
forces 2
former 1
friend 1
from 4
fully 1
gan 2
general 1
gettysburg 1
gold 2
golovko 2
government 3
group 1
grushavoy 2
has 1
hastens 1
have 1
he 1
heads 1
heavy 1
help 1
him 1
himself 1
his 4
holds 1
icbm 1
icbms 1
identical 1
immediate 1
imposed 1
in 7
incident 1
includes 1
including 1
increasingly 1
information 1
initial 1
installing 1
international 1
into 1
invade 1
invasion 3
is 6
it 1
its 3
japaneseamerican 1
john 1
joint 1
killing 1
kremlin 1
last 2
late 1
launch 2
leaders 2
leadership 1
led 2
left 1
lies 1
mainland 1
march 1
meant 1
meanwhile 1
meeting 1
member 1
mercedes 1
military 1
milo 1
minister 1
minute 1
missiles 1
moment 1
moscow 1
much 1
murders 1
nato 2
natorussian 1
naval 1
navy 2
newly 1
news 1
nickolayevich 1
night 1
not 1
novel 1
number 1
nuncio 1
occupants 1
of 19
oil 1
old 1
on 5
one 2
open 1
operation 1
operations 1
operative 1
opinions 1
or 1
ordering 1
over 2
overthrow 1
papal 1
people 1
performing 1
persuades 1
planned 1
plus 1
politburo 2
ponder 1
port 1
possible 1
potential 1
president 5
program 1
promises 1
propaganda 1
purpose 1
quick 1
rainbow 1
reaction 1
ready 1
recent 1
reconnaissance 1
reformist 1
repel 1
republic 1
rest 1
retrain 1
rpg 1
rpg7 1
russia 1
russian 3
russians 1
ryan 6
second 1
secretary 1
seduces 1
seeking 1
sensitive 1
sergey 1
setting 1
ship 2
shoots 1
shot 1
siberia 4
side 1
sniper 1
soldier 1
somebody 1
special 1
spetsnaz 1
spurred 1
square 1
stage 1
star 1
starts 1
states 1
status 1
stay 1
stop 1
struggling 1
student 1
students 1
subplots 1
survives 1
svr 1
system 1
takes 1
team 2
that 3
the 43
their 2
them 1
then 1
they 1
through 2
tiananmen 1
time 1
to 17
topranking 1
toward 1
transition 1
two 3
united 1
us 2
uss 1
war 2
was 1
washington 1
watches 1
website 2
what 1
when 3
whether 1
which 1
while 2
white 1
who 2
with 5
withdrawal 1
witnessed 1
witnesses 1
yu 2
