16088871
/m/03qnvtb
/m/03qnvtb
David Drake
1998-01-01
{"/m/03qfd": "High fantasy", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel", "/m/02xlf": "Fiction"}
a 36
admiral 5
after 2
against 1
ago 1
agrees 2
all 2
allegiance 1
already 1
also 1
ammonite 2
an 4
and 56
another 3
ape 2
appearance 2
appears 1
appoints 1
are 6
aria 3
arranges 1
arrested 2
arrive 3
arrives 1
as 6
ask 1
asks 1
at 2
atara 1
attack 3
attacked 1
attacks 1
attempts 1
awake 1
awakes 1
back 4
backed 1
bad 1
band 1
baron 2
battle 1
be 1
beast 6
beasts 1
beauty 2
because 1
been 1
before 4
begins 2
bight 1
black 1
blessing 1
board 2
boardrepresenting 1
boat 2
boats 1
body 1
book 1
bound 1
break 1
brother 1
building 1
burning 1
but 9
by 11
called 1
can 3
cant 2
captive 1
captors 1
captured 1
captures 1
cashel 13
castle 2
casts 1
causing 1
center 1
cerix 11
characters 1
chess 2
chessboard 1
city 3
climb 1
comes 1
conditions 1
confiscate 1
contain 1
continue 1
control 1
controls 1
conveys 1
convinces 1
council 1
craft 1
crew 1
current 1
daughter 1
dead 1
deal 1
decided 1
declare 1
declared 1
defeat 2
demands 2
demon 1
depths 1
desert 2
destroy 3
destroyed 1
destroys 2
devours 1
die 1
different 1
discover 3
discovers 3
dispose 1
dissolves 1
divers 1
dont 1
down 3
dropped 1
during 2
ending 1
endlessly 1
enter 1
enters 1
erdin 3
ersa 1
escape 3
escaped 1
escapes 1
escaping 1
escort 1
eventually 4
ever 1
evil 1
except 1
exception 1
express 1
false 1
fates 1
fiery 1
fifty 1
finally 1
find 8
finds 1
finishes 1
fit 1
flee 1
fleet 1
flyers 1
follow 1
following 2
folquin 4
for 4
forces 1
frees 1
friends 1
from 5
fulfills 1
game 1
garric 15
garrics 1
gate 1
get 1
gets 1
giant 1
gives 1
giving 1
go 2
goes 2
good 1
grieving 1
group 1
had 2
hairy 6
halphemos 15
hanno 3
hannos 1
has 7
have 2
he 3
help 5
her 19
herself 1
him 6
himself 3
his 10
holding 1
holds 1
home 1
how 1
humbled 1
hunting 1
if 2
iii 3
ilmed 1
ilna 15
ilnas 2
image 1
images 1
immediately 2
immobilize 1
immortality 1
implies 1
imprisoned 2
improving 1
in 19
incantation 1
instead 2
intends 2
intent 1
interferes 1
into 6
introduction 1
invasion 1
iron 1
is 9
island 3
islandsized 1
isle 4
isles 3
it 12
its 3
jumps 1
just 3
key 1
kidnap 1
king 7
kingdom 1
kings 1
lady 2
lair 3
land 1
large 1
later 2
lava 1
leaps 1
learn 1
leave 2
leaving 1
led 3
lens 2
less 1
liane 9
like 1
little 1
load 1
long 1
lord 2
lords 1
loyalty 1
lured 1
magical 1
main 1
make 5
makes 1
malkar 2
man 2
manipulate 1
mansion 2
many 2
marry 2
meant 1
meanwhile 3
meet 2
men 9
mercy 1
meters 1
mirror 1
named 1
navy 3
nearest 1
needed 1
needs 1
new 2
nexus 1
nitker 2
nitkers 3
noble 1
nobles 1
nonnus 3
not 1
notes 1
notice 1
notify 1
ocean 1
of 42
off 1
offers 1
old 2
omen 1
on 13
oncoming 1
one 2
onetime 1
onto 1
opened 1
opens 1
or 1
ordered 1
orders 1
ornifal 1
other 1
out 3
over 1
overthrowing 1
own 1
palace 2
pandah 2
parallel 1
participate 1
party 1
passage 1
passed 1
patterns 1
pawn 1
people 2
personally 1
phantasm 1
phantasms 2
picked 1
piece 1
plans 1
point 1
portal 3
portals 2
possesses 1
powerful 1
preparations 1
prince 2
princess 2
prison 2
promises 1
protector 1
pursuers 1
quarterstaff 1
queen 12
queens 5
rather 2
reaches 2
read 1
realizes 1
rebellious 1
receives 1
recovering 2
regain 1
regent 2
release 2
relieved 1
remains 1
rescue 3
rescued 2
rescuing 1
results 1
return 1
reunited 1
reveal 1
revealing 1
reveals 2
revolt 1
robilard 5
royal 2
royhas 2
run 1
safeguards 1
sash 3
save 1
saves 1
scaled 4
script 1
scripteven 1
search 1
searching 1
secretly 1
see 1
seek 3
seeks 1
seem 1
sees 1
send 1
sends 1
sent 1
serve 1
service 1
set 1
setting 1
settle 1
several 2
sharina 17
sharinas 1
she 16
ship 8
shipwreck 1
shop 1
shows 2
silya 2
silyon 2
sky 1
so 2
sosia 1
spell 3
spirit 1
spy 1
staff 1
succeed 1
succumbing 1
swallowed 1
swallows 1
takes 3
talking 1
tears 1
tells 1
temporarily 1
tenoctris 10
than 3
that 17
the 108
their 9
them 10
then 3
there 5
they 29
theyve 1
third 1
this 3
those 1
though 3
threatens 1
thrilled 1
throne 2
through 5
throws 1
time 1
to 57
top 1
transport 1
transportation 1
travel 2
treachery 1
tricks 1
tried 1
trouble 2
true 1
turn 1
tussle 1
two 1
unable 1
under 1
unfavorable 1
unknown 1
up 7
use 1
uses 4
using 1
valence 3
valles 6
voice 1
volcano 1
warn 1
was 3
watches 1
way 6
well 3
when 7
where 6
which 6
while 1
who 6
wife 1
will 1
with 10
wizard 5
wizardess 2
wizards 1
words 1
world 4
worlds 1
woven 1
wreck 1
write 1
writings 1
yellow 1
zahag 4
