7777644
/m/026cryh
/m/026cryh
Margery Allingham
1938
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 15
about 2
accepts 1
accommodation 1
accomplice 2
activities 1
actress 1
actually 1
adamson 3
admiration 1
admits 1
admitting 1
advance 1
african 1
after 1
afternoon 1
aircraft 1
alan 3
all 2
also 2
amanda 7
an 6
and 16
apologises 1
appointment 1
are 1
argues 1
arranged 1
arrives 1
as 3
asks 6
at 3
attack 1
attempt 1
back 1
barrister 1
be 1
because 2
becomes 1
been 5
behaving 1
besides 1
best 1
blackmail 1
blackmailed 1
body 2
breaking 1
burst 1
but 8
by 4
caesar 2
calls 1
calm 1
campion 22
cannot 1
caroline 8
carried 2
causes 1
celebrate 1
certificate 1
chosen 1
client 1
close 1
colony 1
concerned 1
confront 1
confrontation 1
contacts 1
copied 1
costumes 1
cottage 1
countryside 1
court 2
crimes 1
criminal 1
danger 1
dangerous 1
day 1
dead 2
death 3
deaths 1
defused 1
dell 10
design 1
designer 1
destroyed 1
died 1
dinner 1
disappearance 1
disappears 1
disaster 1
distract 1
doctor 1
does 1
down 1
dress 1
dressed 1
drinking 1
drive 1
drug 1
due 2
dumped 2
embarrassing 1
emerges 1
ends 1
engaged 1
engagement 2
engineer 1
entourage 1
event 1
eventually 1
everybody 1
evidence 2
exactly 1
explains 1
factory 1
fails 1
fake 2
famous 1
fashion 2
father 1
feel 2
fell 1
ferdie 4
ferris 1
fiance 1
find 1
fine 1
fitton 1
flight 2
flying 1
follow 2
for 15
former 2
found 4
four 1
friend 1
friends 1
from 3
gaiogi 2
gas 1
gave 1
georgia 17
gift 1
give 1
given 2
gives 1
goldpainted 1
gossip 1
governor 1
had 1
has 10
have 1
he 19
head 1
help 1
her 17
herself 1
him 8
himself 1
his 5
home 1
hours 1
house 1
how 1
however 1
husband 2
if 1
ill 1
important 1
in 11
including 1
information 1
injection 1
instead 1
introduce 1
investigating 1
is 22
it 3
kill 1
killed 4
knew 1
knocked 1
knows 1
lady 1
laminoff 2
later 1
leaked 1
leaves 2
leaving 1
like 1
local 1
london 1
love 1
luxury 1
made 1
main 1
make 1
man 2
manager 1
marry 2
meets 2
men 1
mentions 1
message 1
might 1
miraculously 1
model 1
moment 1
mortem 1
most 1
murder 1
murdered 1
natural 1
neglecting 1
new 1
next 1
night 1
no 1
not 3
now 3
oates 1
of 11
off 2
official 1
officials 1
on 2
other 1
out 6
outside 1
oven 1
over 3
painkiller 2
party 1
paul 4
placed 1
plane 2
play 1
poison 1
police 2
portlandsmith 4
possibly 1
post 1
previously 1
provides 1
provoke 1
ramilies 1
ramillies 7
raymond 1
ready 1
recovers 1
resemblance 1
resort 1
responsible 2
restaurant 2
return 2
revealed 1
richard 1
ring 1
river 1
ruler 1
rumor 1
run 2
sake 1
saying 1
says 3
scotland 1
see 1
seems 1
several 1
she 10
shocked 1
sinclair 1
sister 1
situation 2
skeleton 1
smooth 1
society 1
son 1
stabbed 1
stagemanaged 1
stanislaus 1
stolen 1
story 1
suicide 2
surprise 1
sweet 1
take 2
taken 1
takes 1
tells 5
terrified 1
that 14
the 32
their 1
them 1
then 5
there 1
they 5
thinks 1
this 1
those 1
three 1
throws 1
to 32
tracks 1
tried 3
turn 1
ulangi 1
unknown 1
unnatural 1
unpleasant 1
unpredictably 1
until 2
unveiling 1
up 2
upset 1
val 7
valentine 1
various 2
visits 1
vital 1
wants 2
was 7
way 1
weeks 1
wells 1
were 1
what 1
when 5
where 2
which 5
who 6
why 1
widespread 1
will 1
with 6
work 1
works 1
worried 1
would 1
yard 1
years 1
young 1
