526665
/m/02lq8h
/m/02lq8h
Stephen Baxter
2000-04-16
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/07g8l": "Transhumanism"}
a 12
able 1
actions 1
advance 1
ago 1
all 2
allows 1
although 1
an 2
and 12
any 1
anyone 5
anywhere 1
apocryphal 1
are 3
arise 1
as 2
at 1
attempts 1
aware 1
based 1
be 3
beginning 1
being 1
beings 1
biased 1
billion 1
biological 1
bolide 1
book 1
britain 1
by 3
can 2
causes 1
central 1
centurion 1
changes 1
chooses 1
climactic 1
climatic 1
collection 1
collectively 1
communication 1
conflicts 1
constant 1
corporation 1
corruption 1
could 2
coupled 1
crime 1
descended 1
destroys 1
detected 1
develop 1
developed 1
development 1
develops 1
did 1
digital 1
direct 1
discover 1
discovered 1
disturbances 1
divine 1
drastically 1
during 1
earth 2
ecological 1
effectively 1
end 1
enhances 1
escape 1
event 1
events 3
examines 1
example 1
existing 1
experiment 1
extinction 1
families 1
first 1
for 1
forced 1
forms 1
from 6
further 1
gamma 1
general 1
genetic 1
geological 1
great 2
group 1
grows 1
hence 1
heroes 1
his 1
historical 1
histories 1
history 1
hole 1
illegitimate 1
in 1
increasingly 1
information 1
inhabited 1
intelligent 1
interface 1
international 1
into 1
is 8
issues 1
it 5
jesus 1
knowledge 1
labeled 1
large 1
laws 1
level 1
life 2
light 2
logical 1
many 1
media 1
mind 1
moses 1
movement 1
nations 1
neural 1
not 1
novel 3
now 1
observation 2
observe 2
occur 1
of 12
often 1
on 3
one 1
opened 1
opening 1
or 1
outcomes 1
over 1
past 2
people 1
person 2
philosophical 1
placed 1
point 1
political 1
population 1
preserve 1
privacy 1
progression 1
proven 1
provided 1
public 1
rather 1
rays 1
real 1
reduced 1
reevaluate 1
released 1
religions 1
remembered 1
roman 1
sample 1
samples 1
secrecy 1
send 1
shows 1
sisyphans 1
son 1
space 1
spacetime 1
spy 1
stories 1
story 1
suffering 1
technology 5
than 1
that 7
the 27
their 4
themes 1
then 1
they 3
this 3
threatened 1
three 1
throughout 1
time 4
timeviewing 1
to 11
towards 1
transmit 1
true 3
trying 1
under 1
underground 2
unlimited 1
used 1
utilizes 1
via 1
view 1
viewer 2
viewpoints 1
visiting 1
was 3
waves 2
when 2
where 1
which 1
who 3
with 1
without 1
world 1
worldwide 1
wormhole 4
wrote 1
years 1
