61489
/m/0gnfq
/m/0gnfq
Victor Hugo
1862
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1500 2
1815 1
1832 1
200000 1
40sous 1
56 1
a 74
abandon 1
abandoned 1
abc 1
about 4
abuse 1
abusive 1
accepts 2
accident 1
accused 1
act 1
actually 2
address 4
adjutant 1
admits 2
adopted 3
advice 1
after 21
afterlife 1
afterwards 1
again 1
agrees 1
aid 2
air 2
alias 1
alienated 1
all 3
allows 1
almost 1
alone 3
aloud 1
already 2
also 17
although 1
ambushes 1
america 1
ammunition 1
among 1
amount 1
an 9
and 137
angrier 1
angry 2
announced 1
announces 3
anonymously 1
another 3
antiorlanist 1
apartment 4
appearance 1
appointed 1
approaches 1
are 11
arme 2
arms 1
arrested 1
arrests 2
arrive 3
arrives 4
arriving 1
as 24
asks 4
at 33
attacking 1
attempt 1
attempts 2
attending 1
author 1
authorities 5
avoid 2
awaken 1
away 5
azelma 7
back 9
badly 1
bagne 2
bamatabois 1
barricade 12
barricades 1
be 12
beautiful 1
because 5
become 3
becomes 4
becoming 1
bed 2
been 3
before 2
beg 1
begins 1
begone 1
begs 1
behind 1
being 6
belief 2
benevolent 1
beside 1
betraying 1
between 1
bids 1
bishop 7
bit 1
bitter 1
blachevelle 1
blackmail 1
blow 1
body 2
book 1
born 1
boy 1
bread 1
breaking 1
breaks 1
breath 1
briefly 1
bring 3
broods 1
brought 1
brujon 1
building 1
but 19
by 24
call 1
called 1
calls 1
calm 1
can 4
candlesticks 2
cannot 2
capable 1
capture 1
care 3
carries 1
carry 1
carrying 1
cart 3
cartridges 1
caught 4
causes 1
certain 1
chair 1
champ 1
champmathieu 1
character 1
chases 1
chastising 1
child 1
chimneysweep 1
christmas 2
city 1
civil 1
claiming 1
claquesous 1
class 1
climbs 1
closing 1
clothes 1
coat 2
coin 1
coincidentally 1
collect 1
colonel 1
comes 4
commits 1
commuted 1
composure 1
comprehend 1
concern 1
confesses 5
confirming 1
confronts 3
consideration 1
continue 1
continues 1
convent 2
convict 1
convince 1
convinced 1
cope 1
cops 1
corinth 1
corpse 1
corpses 1
corrects 1
corrupt 1
cosette 44
cosettes 2
cour 1
covers 1
crack 2
crawls 1
crime 1
crimes 2
crowd 2
crowns 1
cruel 1
cruelly 1
cutting 1
dahlia 1
dandy 1
dangerous 1
daughter 8
daughters 1
day 6
days 2
de 3
dead 2
death 3
debt 1
decides 6
declare 1
delivered 1
delivers 1
demands 2
denies 1
departs 1
des 1
desperation 1
despite 1
did 1
die 2
dies 3
digne 2
dilemma 2
dim 1
direction 1
dirty 1
disappointment 1
discovers 4
discovery 1
disease 1
disguise 1
dismisses 1
distraught 1
do 8
does 3
doing 3
doll 3
done 1
door 1
down 4
dressed 1
drowned 1
due 2
during 4
duty 1
dying 3
earlier 3
eight 1
emaciated 1
empty 1
england 2
enjolras 7
enlists 1
enteractually 1
envious 1
erect 1
escape 7
escapes 3
especially 1
evade 1
eve 2
even 2
evening 1
eventually 1
evidence 1
except 1
exception 1
exconvict 1
execute 1
exit 2
expensive 1
explanation 1
exposing 1
exprisoner 1
extortionate 1
fabric 1
face 1
factory 3
fake 1
fakes 1
fall 1
falls 4
fameuil 1
family 4
fantine 16
fantines 1
farewell 1
fatal 1
fatally 1
father 3
fauchelevent 3
favourite 1
fear 1
feared 1
feeling 2
feels 1
fetching 1
few 2
fictitious 1
field 1
fighting 1
figure 1
final 1
finally 1
find 3
finding 1
finds 6
fire 2
fired 1
fires 1
first 4
fistful 1
five 2
flare 1
flee 1
flings 1
flix 1
follow 2
followed 1
following 2
fooled 1
for 33
forced 3
forehead 1
forgot 1
found 1
fourteen 1
franc 1
francs 4
free 1
freed 1
freeing 1
french 2
fretfully 1
friends 4
from 20
front 1
fulfills 1
furious 1
further 1
gang 1
gardener 2
gardens 1
gate 4
gates 1
gavroche 6
general 1
gentleman 4
georges 1
gervais 1
get 3
gift 1
gillenormand 2
gillenormands 1
give 4
gives 4
go 4
goes 9
gone 2
good 1
gorbeau 2
grabs 1
grandfather 2
grants 2
gras 1
grave 1
great 1
greatly 1
