6508429
/m/0g81s_
/m/0g81s_
Jeff Noon
1997-10-02
a 27
about 3
above 1
accompanied 1
accomplice 1
act 1
activates 2
acts 1
adam 3
affected 1
after 4
again 1
aided 1
aka 1
alice 4
alive 1
all 2
along 1
alongside 1
also 5
an 5
analogue 1
and 48
annodomino 6
appears 1
apprehended 1
are 5
arrested 1
artificial 1
as 16
ask 1
asks 1
asphyxiation 1
at 5
attempt 1
attracted 1
automated 1
away 1
back 4
bad 1
be 4
beast 7
became 1
become 2
becomes 4
been 1
before 4
beggars 1
begin 1
being 2
believes 1
benny 3
beyond 1
bidding 1
bit 1
bite 1
bites 2
bitten 1
bizarre 1
blank 1
bleeder 1
blurbflies 10
blurbfly 4
blurblfies 1
blurbs 2
body 1
bone 2
booby 1
books 1
both 3
brainwaves 1
break 1
breed 2
breeding 1
built 1
but 5
buy 1
by 13
called 5
came 1
can 2
capture 1
carroll 1
carrying 1
celia 9
cellars 1
centre 1
chances 4
cheating 1
child 1
chooses 1
christens 1
city 2
claim 1
class 1
cocktail 1
collected 1
come 3
comes 1
company 2
completely 1
computer 7
computerised 1
computers 3
conceived 1
confront 1
connected 1
connection 1
constantly 3
constructing 1
contact 1
contacted 1
containing 1
continue 1
controlling 1
cookie 1
cop 1
covered 1
crawl 1
creatures 1
crocus 7
daisy 17
dark 5
daughter 1
dead 1
death 2
decipher 1
deduce 1
delivered 1
demonstrating 1
deposit 1
deserted 1
designed 1
desperately 1
destroying 1
determines 1
dies 3
discover 1
discovers 1
dissect 1
dj 6
dna 1
do 1
domino 11
dominoes 11
dopejack 11
double 1
doublesix 3
drags 1
dreams 2
drives 1
dropped 1
duplicates 1
each 1
earns 1
eddie 3
eggs 1
encounters 1
ends 1
engulfed 1
ensures 1
enters 2
equation 2
erotic 1
escape 1
even 1
everyone 1
examined 1
excretes 2
expected 1
experiments 1
extra 1
eyes 1
fall 1
fantasize 1
father 3
feather 4
feathers 1
feed 1
feeds 1
fenton 4
figure 1
find 2
finding 1
finds 4
first 1
flew 1
flies 1
fluid 1
followed 1
for 7
form 1
former 1
forms 1
fractal 5
frank 1
freeze 1
freezes 1
from 5
funding 1
game 2
gates 1
gathered 1
gathers 1
genetic 1
george 4
georgie 9
getting 1
give 2
given 1
gives 2
gloop 2
