4395955
/m/0b_z_t
/m/0b_z_t
Mary Stewart
1979-01
a 13
abilities 1
after 2
age 1
alive 1
all 1
along 1
ambitious 1
and 16
appears 1
apprentice 2
arthur 7
as 10
assist 1
at 1
authority 1
awakes 1
battle 1
be 2
becomes 2
bed 1
before 1
begins 2
believed 1
boy 1
britain 2
buried 1
busy 1
but 3
camelot 1
cause 1
cave 2
center 1
chance 1
child 1
chosen 1
coma 1
combination 1
condition 1
control 1
court 1
covers 1
crystal 2
dead 1
deal 1
death 1
depleted 1
designs 1
despite 1
died 1
difference 1
disguise 1
disguised 1
doesnt 1
doing 1
escapes 1
establishing 1
everything 1
fall 1
falls 1
father 1
female 1
few 2
first 4
for 1
foresees 1
from 3
getting 1
gifted 1
gives 1
government 1
great 1
had 1
halfsister 1
happen 1
happy 1
hard 1
has 1
have 2
having 1
he 12
her 3
hermit 1
him 1
himself 2
his 5
how 2
ill 1
in 5
incognito 1
ingenious 1
initially 1
into 1
intrigue 1
is 7
it 1
kept 1
king 3
know 1
knows 1
later 1
let 1
life 1
like 1
line 1
lives 1
lords 1
lose 2
love 1
luck 1
man 1
master 2
merlin 8
mordred 2
morgause 1
morgausehis 1
much 1
niniane 4
not 1
novel 1
now 3
observing 1
of 12
old 1
on 3
other 1
parts 1
pendragon 1
place 1
planning 1
powers 1
preventing 1
psychic 1
quiet 1
quite 1
reincarnation 1
retires 1
scheming 1
secrets 1
seems 1
seen 1
series 1
she 2
so 1
some 2
somewhere 1
sort 1
spends 1
spy 1
still 1
taken 1
takes 4
task 1
teaches 1
that 1
the 14
their 1
them 3
they 1
this 1
throne 1
through 1
time 4
to 9
traveling 1
travels 1
understand 1
unexpectedly 1
uniting 1
unwisely 1
very 1
victory 1
volume 1
weakened 1
weeks 1
when 2
where 1
while 1
who 1
whom 1
will 2
within 1
wizardseer 1
work 1
would 1
years 2
young 1
