20015272
/m/04y6dlq
/m/04y6dlq
Thomas Bernhard
1979
{"/m/05hgj": "Novel"}
a 9
absolute 1
absorbed 1
ad 1
after 1
an 1
and 6
answer 1
as 2
at 1
austrian 1
bernhardian 1
between 1
brings 1
building 1
builds 1
by 1
cambridge 1
centre 1
character 2
cone 3
correction 1
corrects 2
crescendo 1
death 3
degradation 1
destined 1
disappear 1
dramatic 1
entering 1
etc 1
eternal 1
ever 1
existence 1
extreme 1
for 1
forest 1
geometrically 1
he 1
her 2
his 2
house 1
humanity 1
hypocrisy 1
icon 1
in 3
infinitum 1
invading 1
is 2
it 2
its 1
kobernausser 1
lecturer 1
love 1
loved 1
lucidity 1
madness 1
main 1
maniacal 1
mathematical 1
mausoleum 1
middle 1
multitude 1
nature 1
nemesis 1
of 6
on 1
only 1
paroxystic 1
perfect 1
person 1
phallic 1
precise 1
present 1
project 1
projects 1
refuge 1
right 1
roithamer 2
see 1
selfcorrection 1
shape 1
sickness 1
sister 1
spite 1
such 1
suicide 1
symbols 1
that 1
the 8
then 1
this 1
thought 1
threshold 1
to 4
traumatic 1
typical 1
ultimately 1
unravels 1
violence 1
will 1
years 1
you 1
