3516675
/m/09hw9x
/m/09hw9x
Pierre Christin
1994

100 1
a 27
abandoned 1
able 1
about 3
accompanied 1
across 1
advise 1
affects 1
after 1
again 2
agreed 1
agrees 1
all 4
alone 1
already 1
also 4
ambushing 1
an 7
anarchic 1
ancient 1
and 59
another 2
answers 1
antidote 2
any 1
anything 1
appearance 1
approached 1
are 14
aristopatron 1
aristopatrons 4
armada 1
army 1
around 1
arrives 3
arriving 2
as 5
ask 3
asks 5
assault 1
assembled 1
assembling 3
astroship 3
at 6
attacked 2
authority 1
automatic 1
aware 1
back 1
bar 2
battle 1
be 2
been 4
before 3
behind 1
best 1
between 1
black 1
bloutoks 3
bluxte 1
bonus 1
both 2
breaks 2
brewing 1
brought 2
burst 1
business 2
businessmen 1
busy 1
but 7
by 11
cab 1
called 1
cameras 2
can 3
chaotic 1
check 1
chief 1
circle 27
circles 2
city 2
closely 1
clothes 1
colonel 4
come 2
concerned 1
connected 2
contact 8
corridors 1
could 1
crashed 1
crashes 1
cretiniser 1
crippled 1
croupachof 3
crowd 1
crumbles 1
currency 1
deal 1
dedicated 3
demands 2
depart 1
departs 1
depths 1
deputy 1
derelict 1
describes 1
designated 1
detected 1
disguise 1
distract 1
distracted 1
does 1
doesnt 1
double 1
down 1
dr 2
driven 1
driver 5
driving 1
duck 1
duplicate 1
dust 1
ebebe 1
elongated 1
elsewhere 2
enable 1
enough 1
enters 2
entertainment 1
entrance 5
entranced 1
escape 3
estate 2
evade 1
even 1
examine 1
expedition 1
expenses 1
explain 1
explains 2
explore 1
exploring 1
fed 1
fee 2
fifth 5
fighting 1
final 1
find 6
finding 1
finds 2
finger 1
fire 1
first 4
five 1
floating 1
fly 1
follow 2
for 12
forbids 1
force 2
fourth 5
from 14
front 1
further 1
get 1
given 1
gives 2
glods 2
go 1
going 1
got 1
grab 1
group 2
grumpy 5
guard 5
gun 1
had 1
hands 1
has 8
have 10
he 15
headquarters 3
heads 1
heavy 1
help 2
henchmen 3
her 13
hide 1
high 1
him 10
himself 1
his 12
how 1
hundred 3
hyperprince 3
if 4
images 3
in 18
including 1
indicator 1
industry 1
influence 1
information 3
inside 1
intends 1
interrogating 1
interrupted 1
into 6
intrigued 1
introduce 1
intruders 1
investigate 1
investigations 1
is 28
it 8
job 2
just 3
keep 1
killed 1
knocks 1
know 1
knows 1
landing 1
large 1
larger 1
last 1
late 1
later 2
laureline 32
leaders 1
leaving 2
left 3
less 1
lies 2
limousine 3
lining 1
lives 2
located 2
long 2
longer 1
look 1
machine 10
machines 2
make 5
making 1
manages 2
map 3
marching 1
may 2
mechanics 1
meet 1
meeting 2
meets 1
men 3
mercenaries 3
mesmerized 1
million 1
mind 1
mines 1
miss 1
mission 1
moment 1
money 1
monitored 1
more 1
move 2
moves 1
moving 1
much 1
must 1
mysterious 1
name 1
nazultra 16
necks 1
next 1
no 4
not 1
notices 3
of 32
off 3
offer 1
offered 1
offers 3
office 5
officials 1
old 2
on 12
once 1
one 5
only 1
open 2
opened 1
orbital 1
order 1
orders 4
out 6
over 1
own 2
payment 1
pearls 1
picked 1
piece 1
pilots 1
pinned 1
planet 1
planned 1
plans 1
pockets 1
point 1
points 1
police 5
ponder 1
population 1
potent 1
power 5
presented 1
price 1
priests 1
prince 1
proceed 1
progress 1
protect 1
public 1
pulls 1
punch 1
puts 1
putting 1
quoted 1
real 2
realises 1
realising 1
received 1
receives 1
recover 1
recovery 2
recruit 1
refitted 1
refuses 1
release 2
relents 1
religions 1
rendezvous 1
repair 1
repaired 1
repairs 1
replies 2
report 1
return 2
reunited 1
reveals 1
rich 1
ring 2
risk 2
room 1
rubanis 7
salesman 2
sapphire 1
saw 1
say 1
saying 1
screens 1
scunindar 6
searching 1
second 6
secret 1
seeing 1
seeking 1
seize 1
sent 2
series 2
service 2
set 1
seven 3
she 6
shingouz 11
shocked 1
shopping 1
shot 1
shows 1
shrunk 1
similar 1
since 1
situation 1
snatches 1
sneaks 1
so 1
some 4
spread 1
start 1
station 1
steal 1
still 2
stragglers 1
straks 16
strange 1
strap 1
strapped 1
straps 1
succumbed 1
suddenly 1
surprise 1
swinging 1
switch 1
switching 1
table 1
take 3
takes 1
taking 1
taxi 6
team 4
tell 1
tells 3
thanks 1
that 28
the 142
their 20
them 8
themselves 2
then 1
there 2
they 21
thinks 1
third 4
this 2
thousand 3
three 2
through 4
time 3
tloc 24
to 55
together 1
too 2
top 1
traffic 2
transmitting 2
transmute 1
transmuter 2
tries 2
trouble 1
troubles 1
try 1
turned 1
two 1
unaffected 1
unconscious 1
under 1
undoes 1
unsatisfied 1
up 3
upwards 1
use 1
useless 1
using 2
valerian 2
valrian 26
variation 1
vehicle 4
vehicles 1
via 1
viral 1
virus 7
visit 1
visits 1
vlagovlago 2
waiting 2
wants 1
war 1
warn 1
warned 1
warning 1
was 1
watching 1
way 4
what 1
where 6
which 1
while 2
whip 2
who 13
why 1
will 8
winning 1
with 12
woman 2
work 1
wreck 1
yard 1
zoump 2
