4799261
/m/0cnty1
/m/0cnty1
Matthew Stadler
1999
10thgrade 1
15yearold 1
16 1
a 6
about 1
accusation 1
after 1
age 1
allan 1
an 1
and 3
as 2
assumes 1
at 2
be 1
become 1
but 1
by 1
childhood 1
close 1
curator 1
departs 1
discovers 2
done 1
drawings 1
due 1
enchanted 1
false 1
first 1
for 1
france 4
friend 1
has 1
having 1
he 4
her 1
herbert 1
his 8
hosts 1
idealized 1
identity 1
in 3
is 1
it 1
job 1
lied 1
looking 1
loses 1
lost 1
lover 1
making 1
matthew 1
memory 1
moody 1
mother 2
name 3
named 1
narrator 4
new 1
novel 1
of 7
off 1
on 1
only 1
onto 1
own 1
parents 1
point 1
pretends 1
projects 1
protagonist 2
reader 1
real 1
returns 1
run 1
section 1
seduces 1
seducing 1
so 1
son 2
south 1
stein 1
stphane 5
student 2
succeeds 1
teaching 1
that 2
the 14
then 1
this 1
to 7
together 1
trip 1
two 2
uses 1
visited 1
weeks 1
well 1
when 2
with 1
