6867127
/m/0gtcg9
/m/0gtcg9
Farley Mowat
1966-06
a 3
again 1
ancient 1
and 13
angeline 1
angus 4
anxious 1
anyone 1
archaeological 1
are 1
artifacts 1
as 1
avoid 1
awasin 2
barrens 2
bay 1
being 1
believes 1
between 1
big 1
both 1
box 1
boys 2
brave 1
by 2
camp 1
canoe 1
cariole 1
child 1
chipeweyan 1
churchill 1
claims 1
contain 1
contracts 1
curse 2
deadly 1
decide 1
defying 1
descend 1
discovered 1
disturbs 1
divide 1
dog 1
eventually 1
for 1
forests 1
from 1
frozen 1
go 1
grave 1
he 3
help 3
heroic 1
his 1
hospitalized 1
however 1
hudson 1
ihalmiut 1
in 6
influenza 1
is 3
jamie 4
journey 1
known 1
koonar 1
leads 1
lost 1
macnair 1
man 1
manitoban 1
may 1
medical 1
medicine 1
meet 1
money 1
most 1
nearby 1
north 2
northern 1
novel 1
nurse 1
obtain 1
of 3
on 2
other 1
out 2
peetyuk 2
people 1
pieces 1
placed 1
planning 1
pneumonia 1
prepares 1
profits 1
realize 1
relics 1
rest 1
return 1
river 1
search 1
set 3
should 1
sister 1
sled 1
so 1
soapstone 1
south 1
stay 1
still 1
story 1
struggling 1
studying 1
succumbs 1
supplies 1
survive 1
survivors 1
sword 1
take 1
tells 1
that 3
thaw 1
the 24
their 1
them 2
they 3
this 1
time 2
to 12
tomb 1
trapping 1
travelers 1
travels 1
treacherous 1
treatment 1
uncle 1
uncovers 1
until 1
up 1
valuable 1
viking 2
welfare 1
when 1
which 2
while 1
who 1
whom 1
will 1
with 5
woods 1
