5538452
/m/0drjdf
/m/0drjdf
Sebastian Faulks
1999-02
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
142 1
a 9
action 1
against 2
airman 1
an 1
and 9
anyway 1
as 4
at 1
attractive 1
back 1
brown 1
but 2
by 1
card 1
charlotte 6
childhood 1
comes 1
compartment 1
complete 1
conflicting 1
course 1
decides 1
despite 1
doctor 2
doing 1
dyed 1
each 1
effort 1
epitomised 1
executive 1
exploit 1
fidelity 1
fillings 1
find 1
fluently 1
for 3
france 3
french 1
frenchmen 1
full 1
girl 1
gives 1
gray 1
gregory 3
grilled 1
hair 1
harley 1
has 2
he 3
heading 1
heart 1
heightened 1
her 12
him 1
his 1
home 1
in 7
informs 1
instead 1
intelligent 1
interrogation 1
into 1
is 7
it 1
its 1
jews 1
job 3
joins 1
just 1
language 1
life 2
london 2
loses 1
love 1
man 1
medical 1
meets 1
men 1
methods 1
missing 2
mission 2
mousy 1
much 1
nature 1
nazis 1
news 1
no 1
not 1
occupation 1
of 8
on 3
once 1
one 1
operations 1
other 1
out 1
over 1
parachuted 1
passions 1
peter 1
quickly 1
receptionist 1
referring 1
replaced 1
resistance 1
romance 1
scot 1
secret 2
sent 1
service 2
sets 1
sharing 1
she 4
social 1
soe 1
soon 1
speaks 2
special 1
specified 1
spent 1
street 1
support 1
swing 1
take 1
talent 2
talks 1
temporary 1
that 3
the 13
them 1
then 1
throw 1
time 1
to 11
train 1
training 1
travels 1
turned 1
two 1
up 1
virginity 1
war 1
well 1
when 3
whereabouts 1
which 1
who 1
wishes 1
with 1
works 1
young 1
