314793
/m/01tpv3
/m/01tpv3
Rohinton Mistry
2002
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 2
acts 1
age 1
all 1
an 1
and 9
around 1
as 2
author 1
average 1
baths 1
becomes 1
bedpans 1
bedsores 1
book 3
bring 1
by 1
centre 1
characters 1
comes 1
concerns 1
contains 1
corrupt 1
cost 1
creep 1
daily 1
death 1
decay 2
describing 1
details 1
deterioration 1
dethrone 1
employer 1
epilogue 1
explores 1
faced 1
faces 1
family 2
few 1
financial 1
first 1
focus 1
following 1
for 1
from 1
greed 1
hatching 1
health 1
him 1
his 4
household 1
however 1
huge 1
in 3
inclusion 1
increasing 1
insults 1
into 1
intolerances 1
involves 1
is 1
it 1
jehangir 2
lack 1
lure 1
main 1
many 1
medicine 1
metamorphosis 1
middleclass 1
money 1
nariman 2
narrator 1
native 1
of 10
on 1
pages 1
parsis 2
part 1
physical 1
plan 1
point 1
practices 1
privacy 1
problems 2
religion 1
revolving 1
rituals 1
routine 1
roxana 1
sainiks 1
shifts 1
shiv 1
slap 1
soon 1
space 1
sponge 1
stage 1
stepdaughter 1
stinging 1
story 1
subjection 1
subplot 2
tell 1
that 1
the 20
this 1
to 5
towards 1
turning 1
urinals 1
very 1
wealth 1
which 1
with 1
yezad 2
youngest 1
