2167056
/m/06rv1k
/m/06rv1k
Paulo Coelho

a 11
abandoned 1
abducted 1
about 3
advises 1
against 1
all 1
also 1
an 1
and 9
any 1
arabic 1
around 1
as 7
at 1
attraction 1
author 1
be 2
been 2
beliefs 2
bestselling 1
between 1
book 3
both 1
bring 1
brought 1
but 3
by 2
carpets 1
celebrity 1
climax 1
closer 1
coelho 2
come 1
compares 1
conspicuous 1
constitutes 1
consults 1
correspondent 1
could 1
curious 1
current 1
customs 1
decides 1
desire 1
disappearance 3
discovers 1
during 1
encounters 2
enjoys 1
epileptic 1
esther 7
even 1
eventually 3
ever 1
explores 1
fact 1
fail 1
falls 1
figure 1
find 2
first 2
for 3
forced 1
forever 1
foul 1
france 1
frequently 1
friends 1
from 5
getting 1
go 1
had 6
have 2
he 11
hears 1
her 5
herself 1
him 4
his 14
holding 1
home 1
homeless 1
hotels 1
however 1
husband 3
in 14
increasing 1
inexplicable 1
initially 1
interested 1
introduces 1
is 6
it 1
journey 2
kazakhstan 3
know 1
later 1
launch 1
learns 1
leave 1
led 1
left 1
life 3
living 2
love 4
lover 1
made 1
major 1
making 1
marie 1
marriage 4
may 3
meanings 1
means 1
meeting 2
meets 1
mikhail 6
missing 1
mission 1
money 1
must 1
narrator 7
novel 1
novelist 1
obvious 1
of 14
one 1
only 1
or 2
order 1
out 1
outcome 1
own 3
paris 2
particular 1
peace 1
people 1
play 1
police 1
prefer 1
press 1
privileges 1
protagonist 3
railway 1
realization 1
realizes 2
reason 1
recurring 1
reexamine 1
related 1
relationship 1
result 1
revolves 1
role 1
search 4
self 1
sessions 1
set 1
she 8
souls 1
spreading 1
stagnant 1
stay 2
story 1
streets 1
suspect 1
suspected 1
suspects 1
tells 1
that 7
the 32
their 1
them 1
theme 1
this 2
though 1
through 2
to 14
together 1
too 1
tracks 1
trouble 1
troubles 1
two 1
unable 1
unseen 1
various 1
voices 1
war 1
warns 1
was 3
well 1
what 2
which 1
who 4
wife 2
wishes 1
with 8
women 1
would 1
zahir 4
