3462541
/m/09dspq
/m/09dspq
Charlie Higson
2007-09-06
a 21
about 2
ace 1
admits 1
advance 1
affections 1
after 3
against 1
age 1
almost 1
alone 1
along 1
also 1
american 1
an 6
and 36
angel 2
annoying 1
ants 1
are 8
army 1
arrested 1
as 10
asleep 2
at 1
attempt 1
aunt 1
avenida 2
avenue 1
bag 1
bathroom 1
be 2
become 1
becomes 1
been 1
befriends 1
black 1
blows 1
bond 1
book 2
boss 1
brain 1
britain 1
broken 1
brother 1
but 2
by 12
camp 1
captured 1
car 2
caribbean 1
certainly 1
change 1
chapter 1
character 1
charlie 1
charmian 4
chase 1
chases 1
children 2
city 1
cleaning 1
clients 1
closely 1
collected 1
confessing 1
confusion 1
contacting 1
containing 1
corners 1
corona 3
course 3
criminals 2
crocodile 1
cruz 1
damage 1
daughter 1
de 2
deadly 1
death 1
despite 1
devastating 1
develops 1
die 2
discovers 1
documents 4
does 1
double 1
duesenberg 1
during 3
el 6
employed 1
end 1
ends 1
enter 1
escape 3
escaping 1
even 1
event 1
events 2
ever 1
explosives 2
expresses 1
exus 1
fall 3
farm 1
field 1
finally 2
finds 1
fishing 1
flee 1
fleet 1
flies 1
flood 1
flying 1
follow 1
following 2
follows 1
for 5
forced 1
four 1
friend 2
from 4
gang 2
gangster 1
gangsters 2
garcia 3
get 2
girl 1
gives 1
glass 5
goes 1
group 1
guards 1
guests 2
gunmen 1
had 6
halfway 1
has 6
haven 1
he 12
head 1
hears 1
helped 1
her 2
hermanas 2
hide 1
him 7
himself 1
his 7
hoping 1
hospital 1
house 2
however 2
huracn 6
hurricane 1
ice 1
immature 1
important 1
in 16
infected 1
informs 1
injured 1
into 2
is 19
island 2
it 1
jack 5
jaguar 1
james 26
japanese 2
jj 5
join 1
jujitsu 1
junior 1
keeps 1
kill 1
killed 4
king 1
kisses 1
kissing 1
knock 1
knocked 1
knocks 1
knowledge 1
la 2
lagrimas 7
landing 1
learns 1
leave 1
leaves 1
leaving 1
led 1
left 2
leg 1
less 1
letting 1
local 1
longer 1
lost 1
loves 1
lunch 1
made 1
maintenance 1
make 1
manny 3
mansion 1
many 1
map 1
massive 1
mayan 1
meanwhile 1
mentioned 1
mexican 1
mexico 1
moment 1
money 3
moore 1
mrs 5
mrsglass 1
muerte 2
must 1
name 1
names 1
navy 2
nearly 1
negras 7
new 1
night 1
no 3
not 2
obstacle 2
obstacles 1
of 17
off 2
officer 1
oil 1
old 1
on 7
one 4
only 1
open 1
or 2
order 1
other 1
out 7
outside 1
pacific 1
palenque 2
passes 1
passionately 1
pelanque 3
pickpocket 1
plan 1
plane 1
plans 2
police 1
precious 14
presumably 1
private 1
problems 1
prologue 1
promise 1
prompted 1
quickly 1
reach 1
regain 1
release 1
reluctantly 1
remaining 1
removed 1
rescued 1
resembles 1
retrieve 1
return 1
robbers 1
robert 1
rock 1
rude 1
ruined 1
ruins 1
rule 1
ruler 1
run 3
running 1
safe 3
sailor 1
sakata 4
same 1
selfcentered 2
sell 1
sent 1
servants 1
severely 1
share 1
she 8
ship 1
shows 1
sick 1
slaves 1
sleeps 1
slips 1
smuggler 1
so 1
some 3
soon 1
spoiled 1
start 1
starts 1
stay 1
steal 1
steals 2
stolen 1
stone 10
stop 1
stories 1
storm 3
strabo 3
subdued 1
successfully 1
successor 1
sudden 1
sunset 1
survived 1
tags 1
takes 3
tall 1
tank 1
teaches 1
tears 1
tells 1
than 1
that 7
the 56
their 1
them 6
then 3
there 1
they 6
though 2
through 1
titled 1
to 25
tools 1
tower 1
town 1
training 1
travels 1
traverse 1
tres 2
trick 1
tricked 1
tunnel 1
unable 1
unconscious 1
undergone 1
underground 1
understands 1
up 2
us 1
valuable 1
vera 1
very 2
vicious 1
village 1
visiting 1
wait 1
waiting 1
wakes 1
wall 1
war 2
was 3
watching 1
water 1
way 3
what 1
whatzat 3
when 3
where 2
which 5
while 4
who 4
will 1
window 1
with 7
work 1
world 1
would 2
wrecked 1
young 1
younger 1
youngsters 1
