356670
/m/01zzbb
/m/01zzbb
Ayn Rand

{"/m/012jgz": "Autobiographical novel", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
122 1
125 1
a 46
about 3
access 1
admiration 1
affection 1
after 8
again 1
against 1
agrees 1
alive 1
all 2
allotted 2
almost 1
along 1
also 4
aluminum 1
an 9
and 55
andrei 14
anonymous 1
another 1
any 3
anyone 1
anyway 1
apartment 2
appeals 1
are 3
argounova 1
army 1
arrests 1
as 4
aspirations 1
aspires 1
assault 1
asserted 1
associating 1
at 15
attempt 2
attempting 1
attracted 1
attractive 1
aunt 1
authorities 1
avoidance 1
avoiding 1
background 2
bankrupt 1
bastion 1
be 5
beautiful 1
because 1
become 2
becoming 2
been 7
before 1
begin 1
beginning 2
begins 1
behest 1
being 1
beliefs 3
belonging 1
between 2
biting 1
bleak 1
blended 1
body 1
book 1
border 2
both 1
bounds 1
bourgeois 2
bridge 1
brief 1
building 1
burdened 1
business 1
businesses 1
but 9
by 13
camp 1
can 1
card 1
cards 2
carry 1
carving 1
cascades 1
cast 1
catastrophes 1
caught 1
challenge 1
chance 1
changed 1
character 1
characterless 1
citizens 1
city 1
clandestine 1
class 2
climactic 1
comfortable 1
command 1
commits 2
communist 3
competent 1
complete 1
confesses 1
confrontation 1
confronts 1
contempt 1
contracts 1
controlled 1
converted 1
cooks 1
corrupt 1
costudent 1
could 4
counter 1
counterrevolutionaries 1
country 1
couple 1
course 1
cousin 1
crimea 2
crimes 1
cross 1
cruel 1
cured 1
dark 1
daughter 1
deaf 1
death 1
decides 3
deep 1
departure 1
depositing 1
depression 1
descriptions 1
despair 1
desperate 1
desperation 1
despite 1
destruction 1
deteriorate 1
develop 1
dies 2
different 1
differing 1
difficult 1
discuss 1
dismay 1
dismayed 1
do 1
does 2
doing 2
done 1
dream 2
due 2
each 3
earlier 1
ears 1
educational 1
effort 1
efforts 1
emphatic 1
encounter 1
end 3
ends 1
endures 1
engineer 2
engineers 1
enjoying 1
enough 2
enroll 1
ensuing 1
enterprises 1
equally 1
escape 2
especially 1
establishment 1
even 2
eventually 1
everyone 1
evidence 1
excellence 1
excruciatingly 1
exile 1
expel 1
explains 1
extremely 1
facade 1
factory 1
fail 1
fails 1
fall 1
families 1
family 9
fate 1
father 3
feels 1
feigns 1
final 1
finance 2
find 4
finds 3
firm 1
first 2
five 1
flee 1
food 2
for 21
forced 1
fought 1
four 1
free 1
freedom 1
friend 1
friends 1
friendship 2
frightened 1
from 6
fulfill 3
fulfilling 1
funeral 1
generosity 1
genuine 1
get 2
gigolo 1
given 1
go 2
gpu 2
guard 1
had 7
happening 1
hardships 2
has 7
have 3
having 2
he 6
healthy 1
held 1
hellish 1
help 5
her 24
herself 2
highest 1
highly 1
him 7
his 19
home 2
hopes 1
house 2
how 1
however 1
idealistic 2
ideas 1
ideology 1
if 1
ignoring 2
illegal 1
important 1
imprisonment 1
in 32
independent 1
indifference 1
inflation 1
initially 1
institute 2
institutions 1
intense 1
intimate 1
into 6
investigating 1
irina 1
is 22
it 4
its 1
keeps 1
kerosene 1
key 1
killed 1
kira 40
knows 1
kovalensky 1
labor 1
laborers 1
land 1
last 1
least 1
leaves 2
led 1
left 2
leo 22
liberation 1
license 1
licenses 1
life 6
lightweight 1
like 1
likewise 1
livelihood 1
lives 2
living 3
lofty 1
long 2
loses 1
lost 3
love 6
loving 1
low 1
loyal 1
loyalty 1
main 1
makes 1
male 1
man 4
manages 4
marussia 1
match 1
matched 1
may 1
meet 1
meetings 1
meets 2
member 1
members 1
middle 1
might 1
millet 1
misses 1
mission 1
mistress 1
mold 1
money 1
moral 1
morally 1
more 1
most 2
mourner 1
moves 3
much 1
mutual 1
narrative 1
nascent 1
nationalized 2
needs 1
neighborhood 1
never 1
new 1
newly 1
niche 1
night 1
no 1
not 2
novel 1
nowhere 1
nowstigmatized 1
obtain 1
of 44
off 2
officer 1
official 1
old 1
on 8
one 5
only 5
open 1
opens 1
operated 1
or 2
other 2
out 1
owing 1
own 1
owner 1
pace 1
parents 1
party 4
passion 1
passionate 2
past 1
people 1
perceptive 1
perhaps 2
permits 1
person 3
petrograd 1
piece 1
place 1
plan 1
plans 1
pleas 1
poignant 1
point 2
points 1
police 1
political 2
portrayal 1
portrayed 1
portrays 1
position 1
possessions 2
postrevolutionary 1
powerful 1
prescribed 1
pretension 1
primary 1
primus 1
prison 2
private 1
process 1
proletariat 1
prolonged 1
promise 1
promises 1
prostitute 1
protagonist 1
protests 1
prowess 1
purpose 1
quarters 2
queues 1
ran 1
rand 2
rare 1
rather 1
ration 3
rationed 1
reaches 1
reactions 1
realist 1
realize 1
recovers 1
recuperation 1
red 1
redress 1
reduced 1
regaining 1
register 1
regularly 1
rejects 1
relationship 3
release 1
reluctant 1
remains 1
resigned 1
resolve 2
respect 2
restore 1
retain 1
return 2
returns 2
reverence 1
revolution 1
revolutionaries 1
rich 1
risking 1
role 1
run 1
russia 2
sanatorium 2
says 1
scenarios 1
scene 1
search 2
secrecy 1
secret 2
seedy 1
seized 2
sell 1
sense 1
sentence 1
sentenced 1
series 1
several 1
severity 1
shadow 1
share 2
she 14
ships 1
shop 1
shortly 1
shot 1
show 1
shown 1
sight 2
sinks 1
situation 1
slowly 3
socialist 1
society 1
some 1
soon 2
soul 1
south 1
soviet 3
speculation 1
spirit 2
spite 1
standards 1
standing 1
starts 2
starvation 1
state 9
staterun 1
stay 2
steep 1
stepan 2
stop 1
store 3
storm 1
story 6
storyline 1
stove 2
strength 1
strictly 1
strongly 1
structures 1
students 2
study 1
subsistence 1
such 1
suicide 2
survives 1
swedish 1
system 1
taganov 1
takes 2
technological 1
term 1
textile 2
than 1
that 7
the 83
their 14
them 3
thereafter 1
these 2
they 5
this 3
those 1
thoughts 1
three 1
throws 1
thrust 1
time 1
times 1
timoshenko 2
tipped 1
to 64
together 2
trade 1
tragedy 1
treatment 3
trust 2
tuberculosis 2
turns 1
two 3
typical 1
unassailable 1
unaware 1
uncle 1
under 2
unflinchingly 1
union 2
united 1
until 3
up 1
usually 1
value 1
various 1
vasili 2
venture 1
verge 1
victories 1
views 1
vivid 1
was 2
way 1
weary 1
weight 1
were 1
what 7
whatever 1
when 5
where 1
which 4
while 1
who 6
whom 1
whose 1
will 1
with 15
without 1
wonders 1
work 3
worried 1
would 1
years 1
younger 2
