5028802
/m/0c_kg2
/m/0c_kg2
Joe Dever
1995
50 1
absence 1
and 4
army 1
assassinated 1
baron 1
be 1
been 1
brutal 1
but 1
by 1
challenging 1
city 1
claim 1
complete 1
days 1
delay 1
distant 1
down 1
enslaved 1
evil 1
exile 1
fabled 1
followers 1
found 1
has 1
have 2
he 1
heir 1
hero 1
heroes 1
him 1
his 3
in 6
is 2
isle 1
karvas 2
king 1
knights 1
lives 1
lost 1
must 1
mydnight 1
mydnights 1
of 5
once 1
only 1
or 1
persuade 1
powerful 1
prince 2
quest 2
realm 1
return 1
rich 1
robber 1
sadanzo 2
sheasu 2
siyen 3
sole 1
staked 1
the 6
their 1
this 2
throne 1
to 6
track 1
tyrannical 1
vacant 1
voyage 1
which 1
will 1
with 1
without 1
you 3
your 1
