17149705
/m/043kwbc
/m/043kwbc
Sarah Dessen
1999-09-01
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
1215 1
a 14
about 3
across 1
aerobics 2
after 1
aftermath 1
all 2
an 1
and 26
apologize 1
are 2
arrives 1
art 2
as 2
asks 1
at 7
aunt 2
awe 1
back 2
balance 1
bar 1
be 1
beat 1
because 1
become 1
becoming 1
before 2
being 2
both 1
build 1
bullied 1
bully 1
but 1
by 2
calls 1
car 1
carolina 1
chance 1
changed 1
characters 1
chick 1
classes 1
colby 3
colie 13
colies 1
comes 1
commentary 1
confidence 2
convinced 1
cute 1
date 1
decides 1
disappears 1
disco 1
do 1
durham 1
during 1
each 1
eclipse 1
end 2
endures 1
enjoys 1
equipment 1
europe 1
eventually 1
explores 1
fiance 1
finally 1
financial 1
finds 1
finished 1
first 2
fitness 2
for 8
forgot 1
found 1
friends 1
friendship 1
fun 1
gets 3
getting 1
giving 2
go 1
goes 1
greatly 1
grill 2
guy 1
had 1
has 1
he 1
help 2
her 26
herself 2
hippie 1
his 1
hit 1
hole 1
home 2
house 1
however 1
immediately 1
impressions 1
improve 1
improving 1
in 10
insecure 1
instructor 1
interested 1
invites 1
inyourface 1
is 2
isabel 6
isnt 1
it 2
jealous 1
job 1
jobs 1
josh 1
known 1
lands 1
last 1
later 1
lead 1
life 1
line 2
living 1
locking 1
looks 1
losing 1
loss 1
lost 2
loving 1
made 2
makes 1
mark 4
married 1
meanwhile 1
meets 3
mend 1
mira 2
moon 1
more 1
morgan 7
most 1
mother 6
moved 1
new 3
nickname 1
nicole 1
night 2
no 1
norman 7
north 1
not 1
novel 1
number 1
of 12
often 1
on 2
one 3
other 2
out 2
over 3
overweight 1
particularly 1
past 1
perfectionist 1
poor 1
portrait 3
pregnant 1
problems 1
promiscuous 1
prospect 1
reality 1
realizes 1
rejects 1
relationship 1
remains 1
restaurant 1
reunite 1
rough 1
row 1
rude 1
rumors 1
school 2
second 1
see 1
sessions 1
she 14
shift 1
shot 1
show 1
similar 1
size 1
sky 1
sparks 1
specials 1
spends 1
spent 1
standing 1
start 1
started 1
status 1
stop 1
stripper 1
students 1
summer 1
surprise 1
switched 1
takes 1
taking 1
television 1
tenant 1
that 5
the 18
their 3
them 1
they 5
thrilled 1
time 1
to 14
too 1
tour 1
town 1
tv 1
unveiling 1
up 2
used 1
very 1
want 1
watches 1
weight 3
well 1
were 1
when 6
where 1
which 2
while 2
who 1
will 1
with 5
working 1
worries 1
