57766
/m/0fv9n
/m/0fv9n
Roald Dahl
1964
50p 1
a 23
about 3
accompany 1
after 4
afterward 1
albeit 1
all 1
an 4
and 17
anonymous 1
any 1
appearing 1
are 3
around 1
article 1
articles 1
as 5
aspiring 1
at 1
augustus 3
bad 1
baked 1
bars 4
be 4
beans 1
beauregarde 2
because 1
bed 1
bedridden 1
been 2
before 2
behind 1
being 2
beings 1
blueberry 1
born 1
boy 2
brat 1
bratty 1
bucket 2
but 3
buy 1
by 8
can 1
candy 5
captures 1
chances 1
charlie 8
chewer 1
chewing 1
child 1
children 3
chocolate 7
chocolatier 1
chute 1
cocoa 1
competition 1
confectionary 2
contest 1
continues 1
cooking 1
corner 1
covered 1
customers 1
daily 1
day 3
defunct 1
delight 1
deliver 1
designed 2
destitute 1
development 1
device 1
dilapidated 1
discovered 2
discoverers 1
discovering 2
discovery 2
dismissed 1
distributed 1
do 1
down 1
drinking 1
each 1
elevator 1
elfin 1
eliminated 3
elimination 2
emaciation 1
employees 1
escapes 1
even 1
ever 1
exchange 1
existence 1
factory 12
falling 1
family 5
famous 1
far 1
fascinated 1
father 1
feet 1
find 1
five 1
flying 1
following 1
for 5
four 1
from 4
gangster 1
garbage 1
gather 1
giant 1
given 1
gives 1
glass 1
gloop 2
gluttonous 1
going 1
golden 5
gone 1
grandfather 1
grandpa 2
grandparents 1
grant 1
grow 1
gum 2
had 2
has 4
having 1
he 2
height 1
heir 1
her 2
hidden 1
him 1
himself 3
his 15
home 1
hometown 1
house 1
how 1
however 2
hunger 1
immediately 1
in 15
inch 1
inflating 1
inside 1
interest 1
into 3
is 6
it 2
its 1
itself 1
job 1
joe 2
juiced 1
keeps 1
known 1
lead 1
leaps 1
learn 1
leave 1
leaving 2
legendary 1
lifetime 2
little 1
located 1
locations 1
long 2
longer 1
longs 1
lost 1
made 1
maker 1
meadow 1
meals 1
mentioned 1
mike 3
money 2
much 1
must 2
mysteries 1
mysterious 1
mysteriously 1
named 4
narrates 1
need 1
needed 1
news 1
newspaper 1
no 2
not 2
nut 1
nuts 1
obese 1
obsessed 1
of 16
offering 1
often 1
on 4
one 4
only 2
oompaloompas 1
or 1
original 1
out 2
overstretched 1
owned 1
owner 1
parents 1
passage 1
penniless 1
perfect 1
piece 1
pipe 1
poor 1
position 1
poverty 1
prize 1
product 1
products 1
proprietor 1
pull 1
purchase 1
purple 1
quickly 1
read 1
receive 1
recently 1
recipes 1
recordbreaking 1
relating 1
reopened 1
reopening 1
replace 1
reside 1
restored 1
result 1
resulting 2
reveals 2
revolves 1
rides 1
river 1
room 1
salt 2
satisfy 1
secret 1
seen 1
selecting 1
selfcentered 1
sets 1
she 1
shock 1
shopkeeper 1
shrunken 1
slim 1
small 1
snatch 1
snow 1
so 1
soon 2
speciallytrained 1
spoiled 1
squirrels 1
starving 1
still 1
stolen 1
store 1
stories 1
story 1
sucked 1
supplies 1
supply 1
taffy 1
tall 1
teavee 2
television 2
ten 1
test 1
that 5
the 37
their 3
them 2
there 1
they 1
thin 1
thrilled 1
through 3
ticket 4
tickets 2
tiny 1
to 26
tour 1
touring 1
transported 1
trash 1
trying 1
two 2
unhealthily 1
universallycelebrated 1
unseen 1
until 1
unveils 1
up 3
used 1
uses 1
various 1
veruca 3
via 1
violet 3
way 1
welcomed 1
which 2
while 3
whimsicallydesigned 1
who 4
willy 5
winds 3
with 3
won 1
wonka 13
word 1
work 1
workers 1
working 1
worldwide 1
worry 1
would 1
years 1
young 1
