4058574
/m/0bfzln
/m/0bfzln
Christopher Morley
1919
{"/m/01jfsb": "Thriller", "/m/03npn": "Horror", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 21
across 1
ad 1
additionally 1
advertising 2
affects 1
afoot 1
all 1
alley 1
an 6
and 25
anger 1
are 3
as 4
asked 1
assassination 1
assigns 1
assistant 3
associate 1
at 4
attacked 1
aubrey 1
away 1
be 2
been 1
begin 1
begins 2
behind 1
belief 1
believes 1
biggest 1
blast 1
bock 1
bomb 4
bombs 1
book 2
books 5
booksellers 2
bookshop 6
bookstore 4
breaks 1
but 2
by 6
cabin 1
call 1
captured 1
carlyle 1
case 1
casualties 1
centered 1
chapman 2
chapter 1
chef 2
client 2
coconspirator 1
concerning 1
confirmed 1
confronts 1
content 1
conviction 1
copy 3
crew 1
cromwell 2
daughter 1
day 1
destroyed 1
disappears 1
does 1
dog 1
down 1
dropoff 1
education 1
effort 1
else 1
ensues 1
escapes 1
europe 1
even 1
evidence 1
eye 1
fact 1
fails 1
falls 1
favorite 1
fight 1
final 1
find 2
finding 1
firm 1
focus 1
follows 1
for 2
forgotten 1
friend 1
frighten 1
from 2
german 2
gilbert 13
gregarious 1
gun 1
had 4
happening 1
has 3
haunted 1
have 3
he 8
hed 1
her 3
hidden 1
him 2
himself 3
hiring 1
his 9
hold 1
home 1
hopes 1
hotel 2
in 18
inside 1
into 2
intrigued 2
involved 1
is 11
it 1
job 1
keep 1
key 1
kidnap 1
kidnapping 1
killed 1
knocked 1
late 1
learn 2
learns 1
left 1
let 1
letters 2
locked 1
lost 1
love 1
lured 1
making 1
man 1
manages 1
meanwhile 2
meets 2
menacing 1
mifflin 16
mr 1
mrs 1
mysterious 1
named 1
narrative 1
nefarious 1
neighbor 1
new 2
night 2
not 1
note 1
observed 1
occurred 1
occurring 1
octagon 2
of 17
oliver 2
on 5
one 1
only 2
onto 1
order 1
own 1
part 3
partner 1
party 1
peace 1
pharmacist 9
philadelphia 2
pick 1
plant 1
pleased 1
plot 4
point 1
police 1
posted 1
president 1
promising 1
proprietor 1
protecting 1
prove 1
realize 1
reappears 1
return 1
returns 2
reward 1
roger 1
room 1
sees 1
selling 1
sense 1
ship 1
shop 1
skulking 1
so 1
someone 2
something 1
speaking 1
specialist 1
speeches 2
spy 1
starts 1
stopping 1
store 1
succeed 1
suitcase 1
suspects 1
suspicions 3
take 1
takes 1
talks 1
telling 1
tells 1
that 10
the 50
their 1
there 1
they 1
things 4
third 1
thomas 1
tied 1
times 1
titania 7
to 22
trade 1
train 1
travel 1
travels 1
trip 2
true 1
two 1
undertake 1
until 1
unusual 1
up 2
using 1
value 1
was 8
what 1
when 1
who 1
wilson 3
with 5
woodrow 1
world 1
york 1
young 1
