3284350
/m/0938sk
/m/0938sk
Christopher Isherwood

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
131 1
a 2
adolf 1
although 1
am 2
and 6
are 1
as 3
avenues 1
because 1
berlin 6
bestknown 1
bowles 1
by 1
cabaret 2
cafes 1
camera 2
character 3
dreamers 1
druten 1
during 1
film 3
for 1
from 1
goodbye 1
grotesque 1
her 1
hitler 1
i 2
in 6
inspire 1
into 1
is 3
isherwood 1
john 1
just 1
later 1
main 1
millionaires 1
mobs 1
moving 1
musical 2
nightlife 1
novellas 1
of 4
on 1
one 1
only 1
period 1
play 1
point 1
portrayed 1
power 1
powerful 1
probably 1
quaint 1
role 1
sally 1
set 1
she 1
short 1
stage 1
starring 1
starting 1
stories 3
story 1
the 12
this 1
to 2
transition 1
turn 1
two 1
van 1
versions 1
was 2
well 1
went 1
which 1
