3829882
/m/0b252j
/m/0b252j
Chetan Bhagat
2005-10
{"/m/02xlf": "Fiction"}
a 12
absence 1
affection 1
after 1
agrees 1
alias 1
all 1
almost 1
ambitions 1
among 1
an 2
and 3
another 1
arranged 1
as 1
at 1
author 4
bakshi 1
based 1
be 2
beautiful 1
begins 1
book 3
boss 1
bulk 1
but 1
call 2
center 2
chooses 1
claimed 1
comprises 1
condition 1
cruel 1
delhi 1
demanding 1
during 1
employees 1
environment 1
esha 2
events 1
eyes 1
family 1
featured 1
frame 1
from 1
girl 2
globalized 1
grandson 1
happen 1
has 2
hate 1
he 1
hesitation 1
his 2
in 1
is 4
it 2
journey 2
kanpur 1
lost 2
lot 1
love 1
loves 2
make 1
marcy 1
marriage 2
meets 1
mehra 1
military 1
model 1
motherinlaw 1
narrating 1
narrator 1
night 1
now 1
of 7
offers 1
office 1
on 2
one 2
patriarchal 1
planning 1
pressures 1
priyanka 1
protagonist 2
radhika 1
recounts 1
relates 1
sam 1
second 1
set 1
shyam 3
six 1
story 6
talk 1
tell 1
that 2
the 18
their 1
they 1
through 1
thwarted 1
to 7
told 1
train 1
true 1
uncle 1
unhappy 1
up 1
vroom 1
wants 2
which 2
who 2
with 3
within 1
work 1
