7225158
/m/025wp95
/m/025wp95
Jacqueline Wilson

a 26
account 1
admits 1
after 4
agreeing 1
all 1
also 2
an 2
and 22
angrily 1
anymore 1
as 4
assumes 1
at 2
away 2
baby 1
be 4
beckworth 3
become 1
behind 1
being 1
boring 1
boy 4
but 3
buys 1
by 2
called 3
cannot 1
catches 1
character 1
charlie 21
charlotte 1
children 1
christmas 1
class 1
classes 1
cleaning 2
clears 1
coming 1
compensations 1
correctly 1
council 1
created 1
day 1
decides 4
delivered 1
demonstrating 1
despair 1
diary 3
disappearance 1
dislikes 1
distraught 2
distressed 2
does 1
done 1
earn 1
edwards 1
eleven 2
ends 2
enjoy 1
enright 1
entry 1
even 1
family 1
father 1
feelings 1
feels 1
finds 1
flat 1
following 1
for 6
forces 1
form 1
found 1
freddie 3
freezing 1
friends 2
from 3
get 1
gets 1
girl 4
give 1
gives 1
go 1
goes 1
good 1
guesses 1
guiltridden 1
had 2
has 4
hates 1
he 2
her 7
hers 1
him 2
his 3
history 1
hospital 1
house 1
houses 1
however 1
i 2
immedietly 1
in 7
information 1
intelligent 1
irritating 1
is 17
it 3
its 1
jamie 4
jo 8
job 2
just 2
kissing 2
last 1
leave 1
leaving 1
left 1
like 4
listen 1
little 1
lives 1
longer 1
looking 2
looks 1
loses 1
loss 1
lot 1
lottie 6
louisa 1
maid 1
manageress 1
mark 6
master 1
maternity 1
mirroring 1
miss 3
missing 1
money 1
most 1
mother 2
much 1
neither 1
new 1
next 1
no 1
not 4
novel 1
now 1
nursery 1
of 9
off 1
old 2
on 6
order 1
own 1
packages 1
parents 1
park 2
partner 1
picture 1
pneumonia 2
point 1
police 1
popular 1
postcards 1
pram 1
prefers 1
prize 1
project 4
relived 1
replaced 1
result 1
returned 1
ride 1
robin 13
runs 1
rushed 1
safety 1
said 1
say 1
school 2
seaside 2
servant 4
servants 1
sets 1
she 11
shine 1
shop 1
since 1
single 1
sit 1
snatched 1
some 1
station 1
still 2
storms 1
strict 1
subplot 1
supermarket 1
sure 1
take 2
takes 1
teacher 1
tells 1
that 5
the 19
them 1
theme 1
this 1
though 1
three 1
to 23
told 1
topic 1
towards 1
train 1
trip 2
until 1
up 2
upset 3
use 1
very 2
victor 1
victorian 3
victorians 1
view 1
want 1
wating 1
week 1
what 2
when 1
whilst 1
who 5
whole 1
whom 2
will 2
win 1
wins 1
with 6
witness 1
woman 1
words 1
write 1
year 1
years 1
young 2
