17442007
/m/0465zm6
/m/0465zm6
Jack Finney
1956

06 1
113 1
200 1
3700 1
42nd 1
a 22
abraham 1
acme 6
acquaintance 1
act 1
active 1
advanced 1
after 2
agency 4
all 3
ambrose 1
an 3
and 19
another 3
are 2
arrives 1
as 9
asks 2
assess 1
at 4
back 4
bar 1
barn 7
because 1
been 1
before 3
being 1
between 1
bierce 1
bills 2
block 1
board 1
branch 1
branches 1
briefly 1
broadway 1
brochure 1
bureau 2
bus 4
but 2
by 4
cabinet 1
cents 1
chance 1
change 1
charley 12
chose 1
city 2
concludes 1
confides 1
conversation 3
could 2
counter 1
crater 1
crosses 1
dark 1
decrepit 1
departure 2
deposited 1
depot 1
descends 1
dilapidated 1
directs 1
discovered 1
discussing 1
displayed 1
does 1
doing 1
dont 1
door 2
drive 1
earlier 1
earth 3
emigrate 1
emphasizes 1
ends 1
erupted 1
escape 1
even 1
evergrowing 1
every 1
evolved 1
fallen 1
family 1
far 1
few 1
fictional 1
find 1
fire 1
fivedollar 1
flash 1
fool 1
for 8
forested 1
framed 1
from 4
gets 2
gives 1
glimpses 1
go 3
going 1
gone 1
greeted 1
had 6
hands 1
has 2
he 16
help 1
here 1
him 8
hint 1
his 4
house 1
how 3
humankind 1
humans 3
i 2
identical 1
idyllic 1
if 3
in 10
including 1
inhabitants 1
intervention 1
into 2
invite 1
invited 1
is 2
island 1
it 5
its 1
ive 1
joke 2
judge 1
just 3
know 1
last 2
later 1
least 1
left 2
light 2
like 1
lincoln 1
list 1
little 1
located 1
long 1
looks 1
major 1
man 2
many 1
matter 1
minute 1
money 2
motivations 1
named 1
nameless 1
narrow 1
need 1
neighbor 1
new 2
no 2
not 1
now 1
number 1
observation 1
observed 1
occupied 1
of 15
on 8
one 4
onesided 1
open 1
opened 1
opposed 1
other 2
out 4
over 3
passive 1
pay 1
payment 1
peaceful 1
people 5
period 1
person 1
physically 1
picking 1
planet 3
played 1
point 1
price 1
printed 1
prior 1
problems 1
proprietor 8
put 1
questions 1
rage 1
reasons 1
recounts 1
remains 1
rent 1
rescue 1
returning 1
rural 1
saw 1
say 1
saying 1
says 2
seeks 1
seventeen 1
shut 1
similar 2
since 1
sits 1
slams 1
small 3
so 1
society 1
sold 1
some 3
sort 1
speculates 1
station 1
stop 1
storms 1
story 2
street 1
streets 1
strikes 1
supposedly 1
take 1
taken 1
taking 1
talking 1
telling 1
tells 1
that 6
the 40
their 1
then 2
they 5
this 1
threshold 1
through 2
ticket 2
time 8
to 32
told 2
travel 10
tried 3
two 2
unstated 1
up 2
verna 7
vernans 4
very 1
wait 1
waits 1
want 1
war 1
warlike 1
ways 1
were 2
west 2
what 1
whatever 1
when 4
where 1
which 2
who 2
whose 1
why 1
will 1
window 1
with 4
words 1
world 1
would 3
wouldnt 1
years 2
york 1
you 7
