3737085
/m/09y57h
/m/09y57h
John Steinbeck
1947

100 1
42 1
a 48
accident 3
accuses 1
acne 1
actually 3
advertisement 2
afford 1
after 3
afterward 1
again 1
alias 1
alice 8
all 3
along 1
already 1
also 2
always 1
an 8
and 34
anger 1
another 2
answered 1
any 1
are 6
area 1
arrives 1
as 9
asks 1
asleep 1
assaults 1
asserts 1
assistant 1
at 12
attempt 1
attention 1
attire 1
attracted 1
attracts 1
away 1
awkward 1
back 1
bad 1
badly 1
barn 1
be 5
because 3
beds 1
been 1
bernice 1
between 1
black 1
blonde 1
bloody 1
bored 1
both 2
bridge 1
bus 14
buses 1
business 1
businessman 1
but 10
by 12
cake 1
california 1
called 2
camel 1
camille 4
can 1
candy 2
cannot 1
cardboard 1
career 1
carson 6
chapter 1
character 4
characters 3
cheats 1
chesterfield 1
chesterfields 1
chicoy 2
chicoys 3
choose 1
cigarettes 1
claiming 1
claims 3
clark 2
cleaning 1
coffee 1
collects 1
college 1
colorful 1
company 3
concise 1
connecting 1
constantly 1
consumes 1
containing 1
conversation 1
convert 1
convinced 1
corners 9
counter 4
country 1
cousin 1
crossroads 1
cruz 2
curvaceous 1
daughter 2
de 2
decent 1
decide 1
deduct 1
deeply 2
defense 1
deliberately 1
delineating 1
delineation 1
delusion 1
dental 1
depiction 1
depot 1
descended 1
description 1
deserted 1
desired 1
despises 1
destination 1
devoted 2
dialogue 1
diner 1
dirt 1
disclosed 1
discovers 1
dismissive 1
distance 1
distant 1
distrusts 1
ditch 1
does 1
dollar 1
dominates 1
down 1
dr 1
driven 1
driver 1
driving 1
dull 1
earns 2
ed 1
elliott 1
else 1
embark 1
employed 1
employee 3
employees 2
en 1
encounters 1
ends 2
engages 1
enough 1
entrance 1
ernest 1
escape 1
escapes 1
establishing 1
even 1
evenly 1
eventually 1
everyone 2
exactly 1
example 1
exceeded 1
except 1
expects 1
experience 1
experiencing 1
exposing 1
expresses 1
extreme 1
face 1
facial 1
fact 2
fairly 1
fallen 1
falls 1
false 1
family 2
famous 1
fan 1
farmhouse 1
favored 1
ferrying 1
few 1
figurative 1
figure 1
