25203993
/m/09gnfw9
/m/09gnfw9


{"/m/01hmnh": "Fantasy"}
a 7
acts 1
against 1
along 1
always 2
and 5
are 1
as 2
assisted 1
back 1
battle 3
between 1
book 1
by 1
cache 1
carefully 1
characters 1
continues 1
contrasted 1
conventions 1
corps 1
cute 1
decided 1
demeanor 1
dragon 1
during 1
endowed 1
evil 1
extremely 1
fantasy 1
fight 1
find 1
follows 1
for 1
forces 1
from 1
front 1
geas 1
genre 1
gentle 1
good 2
group 1
halflings 1
have 1
having 1
high 1
hoard 1
in 1
integration 1
into 2
is 3
its 1
last 2
less 1
lines 1
marine 1
military 2
minds 1
mindset 1
mocks 1
modern 1
most 1
motivations 1
much 1
noble 2
novel 1
of 10
on 2
opening 1
orc 1
orcs 6
organize 1
pair 1
plays 1
preparation 1
prepared 1
protagonists 1
races 1
reclaim 1
replicas 1
rivals 1
satire 1
secrets 1
sent 1
society 1
states 1
stereotypical 1
story 1
storyline 1
than 1
that 2
the 20
their 1
themselves 3
they 1
threat 1
through 1
to 3
traditional 1
transforms 1
triumphant 1
uncover 1
united 1
up 1
using 1
vietnam 1
villainous 1
violent 1
war 1
warleader 1
way 1
weaponry 1
weapons 1
well 1
which 2
who 1
whose 1
with 3
